"Time","Fase C"
2025-07-01 00:00:00,0.119
2025-07-01 00:15:00,0.270
2025-07-01 00:30:00,0.0545
2025-07-01 00:45:00,0.186
2025-07-01 01:00:00,0.102
2025-07-01 01:15:00,0.0783
2025-07-01 01:30:00,0.336
2025-07-01 01:45:00,0.310
2025-07-01 02:00:00,0.226
2025-07-01 02:15:00,0.123
2025-07-01 02:30:00,0.272
2025-07-01 02:45:00,0.0348
2025-07-01 03:00:00,0.0574
2025-07-01 03:15:00,0.0289
2025-07-01 03:30:00,0.233
2025-07-01 03:45:00,0.178
2025-07-01 04:00:00,-0.040
2025-07-01 04:15:00,0.00209
2025-07-01 04:30:00,0.0276
2025-07-01 04:45:00,0.225
2025-07-01 05:00:00,0.0188
2025-07-01 05:15:00,0.00588
2025-07-01 05:30:00,0.125
2025-07-01 05:45:00,0.0734
2025-07-01 06:00:00,0.00162
2025-07-01 06:15:00,0.0178
2025-07-01 06:30:00,-0.048
2025-07-01 06:45:00,0.599
2025-07-01 07:00:00,0.377
2025-07-01 07:15:00,0.0474
2025-07-01 07:30:00,-0.25
2025-07-01 07:45:00,0.0906
2025-07-01 08:00:00,0.257
2025-07-01 08:15:00,0.646
2025-07-01 08:30:00,0.979
2025-07-01 08:45:00,1.45
2025-07-01 09:00:00,1.26
2025-07-01 09:15:00,1.19
2025-07-01 09:30:00,1.03
2025-07-01 09:45:00,1.14
2025-07-01 10:00:00,1.01
2025-07-01 10:15:00,1.48
2025-07-01 10:30:00,0.536
2025-07-01 10:45:00,0.647
2025-07-01 11:00:00,0.812
2025-07-01 11:15:00,0.535
2025-07-01 11:30:00,0.706
2025-07-01 11:45:00,0.651
2025-07-01 12:00:00,0.337
2025-07-01 12:15:00,0.874
2025-07-01 12:30:00,1.22
2025-07-01 12:45:00,0.860
2025-07-01 13:00:00,0.949
2025-07-01 13:15:00,0.958
2025-07-01 13:30:00,0.795
2025-07-01 13:45:00,1.05
2025-07-01 14:00:00,0.848
2025-07-01 14:15:00,-0.083
2025-07-01 14:30:00,-0.059
2025-07-01 14:45:00,0.529
2025-07-01 15:00:00,0.852
2025-07-01 15:15:00,0.354
2025-07-01 15:30:00,0.465
2025-07-01 15:45:00,0.478
2025-07-01 16:00:00,0.429
2025-07-01 16:15:00,0.464
2025-07-01 16:30:00,0.246
2025-07-01 16:45:00,0.241
2025-07-01 17:00:00,0.705
2025-07-01 17:15:00,0.225
2025-07-01 17:30:00,0.0392
2025-07-01 17:45:00,-0.12
2025-07-01 18:00:00,0.537
2025-07-01 18:15:00,0.609
2025-07-01 18:30:00,-0.20
2025-07-01 18:45:00,0.795
2025-07-01 19:00:00,0.446
2025-07-01 19:15:00,-0.081
2025-07-01 19:30:00,0.352
2025-07-01 19:45:00,0.660
2025-07-01 20:00:00,0.0117
2025-07-01 20:15:00,-0.24
2025-07-01 20:30:00,0.400
2025-07-01 20:45:00,0.182
2025-07-01 21:00:00,0.0182
2025-07-01 21:15:00,-0.026
2025-07-01 21:30:00,-0.24
2025-07-01 21:45:00,0.537
2025-07-01 22:00:00,0.761
2025-07-01 22:15:00,0.499
2025-07-01 22:30:00,0.642
2025-07-01 22:45:00,0.484
2025-07-01 23:00:00,0.261
2025-07-01 23:15:00,0.369
2025-07-01 23:30:00,0.314
2025-07-01 23:45:00,0.501
2025-07-02 00:00:00,0.410
2025-07-02 00:15:00,0.385
2025-07-02 00:30:00,0.317
2025-07-02 00:45:00,0.439
2025-07-02 01:00:00,0.475
2025-07-02 01:15:00,0.340
2025-07-02 01:30:00,0.513
2025-07-02 01:45:00,0.418
2025-07-02 02:00:00,0.384
