"Time","Fase C"
2025-07-01 00:15:00,0.810
2025-07-01 00:30:00,0.380
2025-07-01 01:00:00,1.08
2025-07-01 01:15:00,0.790
2025-07-01 01:30:00,1.30
2025-07-01 01:45:00,0.890
2025-07-01 02:00:00,0.545
2025-07-01 02:30:00,0.648
2025-07-01 02:45:00,0.617
2025-07-01 03:00:00,1.06
2025-07-01 03:15:00,1.02
2025-07-01 03:30:00,0.680
2025-07-01 03:45:00,0.440
2025-07-01 04:00:00,0.652
2025-07-01 04:15:00,0.764
2025-07-01 04:30:00,0.761
2025-07-01 04:45:00,0.843
2025-07-01 05:00:00,0.980
2025-07-01 05:15:00,0.635
2025-07-01 05:45:00,0.643
2025-07-01 06:00:00,0.483
2025-07-01 06:15:00,1.33
2025-07-01 06:30:00,0.553
2025-07-01 06:45:00,0.840
2025-07-01 07:00:00,0.350
2025-07-01 07:15:00,0.442
2025-07-01 07:30:00,0.583
2025-07-01 07:45:00,0.293
2025-07-01 08:00:00,0.360
2025-07-01 08:15:00,-0.075
2025-07-01 08:30:00,-0.080
2025-07-01 08:45:00,-0.34
2025-07-01 09:00:00,-0.43
2025-07-01 09:15:00,-0.093
2025-07-01 09:30:00,0.0850
2025-07-01 09:45:00,-0.21
2025-07-01 10:00:00,1.83
2025-07-01 10:30:00,0.690
2025-07-01 10:45:00,0.0800
2025-07-01 11:00:00,0.173
2025-07-01 11:30:00,0.0900
2025-07-01 11:45:00,0.803
2025-07-01 12:00:00,0.437
2025-07-01 12:30:00,0.277
2025-07-01 12:45:00,0.590
2025-07-01 13:00:00,0.545
2025-07-01 13:15:00,0.434
2025-07-01 13:30:00,0.477
2025-07-01 13:45:00,0.682
2025-07-01 14:00:00,0.723
2025-07-01 14:15:00,0.173
2025-07-01 14:30:00,-0.0013
2025-07-01 14:45:00,0.108
2025-07-01 15:00:00,0.116
2025-07-01 15:15:00,0.130
2025-07-01 15:30:00,0.168
2025-07-01 15:45:00,-0.021
2025-07-01 16:00:00,0.122
2025-07-01 16:15:00,0.0237
2025-07-01 16:30:00,0.219
2025-07-01 16:45:00,0.0126
2025-07-01 17:00:00,-0.10
2025-07-01 17:15:00,0.0589
2025-07-01 17:30:00,0.221
2025-07-01 17:45:00,0.888
2025-07-01 18:00:00,1.00
2025-07-01 18:15:00,0.745
2025-07-01 18:30:00,0.868
2025-07-01 18:45:00,0.715
2025-07-01 19:00:00,0.738
2025-07-01 19:15:00,0.741
2025-07-01 19:30:00,0.648
2025-07-01 19:45:00,0.787
2025-07-01 20:00:00,0.656
2025-07-01 20:15:00,0.484
2025-07-01 20:30:00,0.535
2025-07-01 20:45:00,0.302
2025-07-01 21:00:00,0.429
2025-07-01 21:15:00,0.212
2025-07-01 21:30:00,0.190
2025-07-01 21:45:00,0.269
2025-07-01 22:00:00,0.372
2025-07-01 22:15:00,0.436
2025-07-01 22:30:00,0.623
2025-07-01 22:45:00,0.496
2025-07-01 23:00:00,0.564
2025-07-01 23:15:00,0.636
2025-07-01 23:30:00,0.621
2025-07-01 23:45:00,0.744
2025-07-02 00:00:00,0.491
2025-07-02 00:15:00,0.579
2025-07-02 00:30:00,0.907
2025-07-02 00:45:00,0.582
2025-07-02 01:00:00,0.686
2025-07-02 01:15:00,0.633
2025-07-02 01:30:00,0.493
2025-07-02 01:45:00,0.773
2025-07-02 02:00:00,0.530
2025-07-02 02:15:00,0.476
2025-07-02 02:30:00,0.718
2025-07-02 02:45:00,0.593
2025-07-02 03:00:00,0.633
2025-07-02 03:15:00,0.632
2025-07-02 03:30:00,0.429
2025-07-02 03:45:00,0.577
2025-07-02 04:00:00,0.505
2025-07-02 04:15:00,0.629
2025-07-02 04:30:00,0.604
2025-07-02 04:45:00,0.564
2025-07-02 05:00:00,0.546
2025-07-02 05:15:00,0.508
2025-07-02 05:30:00,0.546
2025-07-02 05:45:00,0.625
2025-07-02 06:00:00,0.646
2025-07-02 06:15:00,0.407
2025-07-02 06:30:00,0.459
2025-07-02 06:45:00,0.606
2025-07-02 07:00:00,0.281
2025-07-02 07:15:00,0.451
2025-07-02 07:30:00,0.217
2025-07-02 07:45:00,-0.10
2025-07-02 08:00:00,0.0610
2025-07-02 08:15:00,0.214
2025-07-02 08:30:00,0.112
2025-07-02 08:45:00,0.232
2025-07-02 09:00:00,0.149
2025-07-02 09:15:00,-0.069
2025-07-02 09:30:00,-0.089
2025-07-02 09:45:00,-0.033
2025-07-02 10:00:00,-0.071
2025-07-02 10:15:00,0.255
2025-07-02 10:30:00,0.0387
2025-07-02 10:45:00,0.111
2025-07-02 11:00:00,0.114
2025-07-02 11:15:00,0.188
2025-07-02 11:30:00,0.356
2025-07-02 11:45:00,0.320
2025-07-02 12:00:00,0.176
2025-07-02 12:15:00,0.158
2025-07-02 12:30:00,-0.037
2025-07-02 12:45:00,0.114
2025-07-02 13:00:00,0.140
2025-07-02 13:15:00,0.0602
2025-07-02 13:30:00,0.169
2025-07-02 13:45:00,-0.010
2025-07-02 14:00:00,0.0452
2025-07-02 14:15:00,0.00720
2025-07-02 14:30:00,-0.13
2025-07-02 14:45:00,-0.20
2025-07-02 15:00:00,-0.15
