"Time","Fase B"
2025-07-01 17:30:00,3.33
2025-07-01 17:45:00,2.94
2025-07-01 18:00:00,3.56
2025-07-01 18:30:00,3.80
2025-07-01 19:30:00,4.49
2025-07-01 21:15:00,1.09
2025-07-02 06:45:00,1.15
2025-07-02 07:00:00,1.15
2025-07-02 07:15:00,0.0614
2025-07-02 07:30:00,0.119
2025-07-02 07:45:00,2.15
2025-07-02 08:00:00,2.48
2025-07-02 08:15:00,1.98
2025-07-02 08:30:00,1.59
2025-07-02 08:45:00,1.82
2025-07-02 09:00:00,1.81
2025-07-02 09:15:00,1.74
2025-07-02 09:30:00,2.01
2025-07-02 09:45:00,2.01
2025-07-02 10:00:00,1.90
2025-07-02 10:15:00,1.89
2025-07-02 10:30:00,2.52
2025-07-02 10:45:00,2.33
2025-07-02 11:00:00,1.65
2025-07-02 11:15:00,2.41
2025-07-02 11:30:00,1.94
2025-07-02 11:45:00,1.89
2025-07-02 12:00:00,2.98
2025-07-02 12:15:00,2.98
2025-07-02 12:30:00,2.74
2025-07-02 12:45:00,2.54
2025-07-02 13:00:00,2.74
2025-07-02 13:15:00,2.35
2025-07-02 13:30:00,1.64
2025-07-02 13:45:00,2.15
2025-07-02 14:00:00,1.79
2025-07-02 14:15:00,2.23
2025-07-02 14:30:00,2.06
2025-07-02 14:45:00,2.43
2025-07-02 15:00:00,2.28
2025-07-02 15:15:00,1.40
2025-07-02 15:30:00,2.53
2025-07-02 15:45:00,2.56
2025-07-02 16:00:00,2.43
2025-07-02 16:15:00,2.63
2025-07-02 16:30:00,2.82
2025-07-02 16:45:00,3.06
2025-07-02 17:00:00,2.78
2025-07-02 17:15:00,2.16
2025-07-02 17:30:00,3.38
2025-07-02 17:45:00,3.74
2025-07-02 18:00:00,4.07
2025-07-02 18:15:00,4.55
2025-07-02 18:30:00,4.42
2025-07-02 18:45:00,3.88
2025-07-02 19:00:00,3.92
2025-07-02 19:15:00,3.95
2025-07-02 19:30:00,4.01
2025-07-02 19:45:00,2.90
2025-07-02 20:00:00,1.31
2025-07-02 20:15:00,1.37
2025-07-02 20:30:00,1.24
2025-07-02 20:45:00,1.31
2025-07-02 21:00:00,1.44
2025-07-02 21:15:00,1.57
2025-07-02 21:30:00,1.36
2025-07-02 21:45:00,1.37
2025-07-02 22:00:00,1.44
2025-07-02 22:15:00,1.49
2025-07-02 22:30:00,1.61
2025-07-02 22:45:00,1.55
2025-07-02 23:00:00,1.46
2025-07-02 23:15:00,1.47
2025-07-02 23:30:00,1.65
2025-07-02 23:45:00,1.53
2025-07-03 00:00:00,1.38
2025-07-03 00:15:00,1.40
2025-07-03 00:30:00,1.45
2025-07-03 00:45:00,1.62
2025-07-03 01:00:00,1.56
2025-07-03 01:15:00,1.42
2025-07-03 01:30:00,1.49
2025-07-03 01:45:00,1.48
2025-07-03 02:00:00,1.64
2025-07-03 02:15:00,1.43
2025-07-03 02:30:00,1.56
2025-07-03 02:45:00,1.59
2025-07-03 03:00:00,1.60
2025-07-03 03:15:00,1.62
2025-07-03 03:30:00,1.43
2025-07-03 03:45:00,1.59
2025-07-03 04:00:00,1.47
2025-07-03 04:15:00,1.42
2025-07-03 04:30:00,1.64
2025-07-03 04:45:00,1.50
2025-07-03 05:00:00,1.61
2025-07-03 05:15:00,1.45
2025-07-03 05:30:00,1.50
2025-07-03 05:45:00,1.65
2025-07-03 06:30:00,1.38
2025-07-03 06:45:00,1.34
2025-07-03 07:00:00,1.69
2025-07-03 07:15:00,0.819
2025-07-03 07:30:00,0.979
2025-07-03 07:45:00,3.47
2025-07-03 08:00:00,3.18
2025-07-03 08:15:00,3.83
2025-07-03 08:30:00,3.16
2025-07-03 08:45:00,3.12
2025-07-03 09:00:00,3.10
2025-07-03 09:15:00,3.41
2025-07-03 09:30:00,3.45
2025-07-03 09:45:00,2.95
2025-07-03 10:00:00,3.38
2025-07-03 10:15:00,3.41
2025-07-03 10:30:00,2.97
2025-07-03 10:45:00,3.41
2025-07-03 11:00:00,3.22
2025-07-03 11:15:00,3.41
2025-07-03 11:30:00,3.37
2025-07-03 11:45:00,3.42
2025-07-03 12:00:00,3.55
2025-07-03 12:15:00,3.54
2025-07-03 12:30:00,3.61
2025-07-03 12:45:00,3.77
2025-07-03 13:00:00,3.87
2025-07-03 13:15:00,4.31
2025-07-03 13:30:00,3.00
2025-07-03 14:00:00,2.37
2025-07-03 14:30:00,3.32
2025-07-03 14:45:00,3.12
2025-07-03 15:00:00,3.06
2025-07-03 15:15:00,2.52
2025-07-03 15:30:00,2.55
2025-07-03 15:45:00,3.24
2025-07-03 16:00:00,2.38
2025-07-03 16:15:00,3.19
2025-07-03 16:30:00,2.93
2025-07-03 16:45:00,3.55
2025-07-03 17:00:00,3.28
2025-07-03 17:15:00,3.06
2025-07-03 17:30:00,3.16
2025-07-03 17:45:00,3.56
2025-07-03 18:00:00,4.64
2025-07-03 18:15:00,4.76
2025-07-03 18:30:00,4.48
2025-07-03 18:45:00,4.20
2025-07-03 19:00:00,4.23
2025-07-03 19:15:00,4.73
2025-07-03 19:30:00,3.72
2025-07-03 19:45:00,1.99
2025-07-03 20:00:00,1.40
2025-07-03 20:15:00,1.40
2025-07-03 20:30:00,1.29
2025-07-03 20:45:00,1.33
2025-07-03 21:00:00,1.35
2025-07-03 21:15:00,1.47
2025-07-03 21:30:00,1.54
2025-07-03 21:45:00,1.51
2025-07-03 22:00:00,1.36
2025-07-03 22:15:00,1.50
2025-07-03 22:30:00,1.71
2025-07-03 22:45:00,1.63
2025-07-03 23:00:00,1.50
2025-07-03 23:15:00,1.64
2025-07-03 23:30:00,1.55
2025-07-03 23:45:00,1.78
2025-07-04 00:00:00,1.61
2025-07-04 00:15:00,1.50
2025-07-04 00:30:00,1.55
2025-07-04 00:45:00,1.83
2025-07-04 01:00:00,2.06
2025-07-04 01:15:00,1.77
2025-07-04 01:30:00,1.55
2025-07-04 01:45:00,2.06
2025-07-04 02:00:00,1.33
