"Time","Fase C"
2025-07-01 14:00:00,0.810
2025-07-01 14:15:00,0.797
2025-07-01 14:30:00,0.540
2025-07-01 14:45:00,0.560
2025-07-01 15:15:00,0.820
2025-07-01 15:30:00,0.610
2025-07-01 15:45:00,0.630
2025-07-02 10:45:00,0.320
2025-07-02 11:00:00,0.315
2025-07-02 11:30:00,0.493
2025-07-02 11:45:00,0.330
2025-07-02 12:00:00,0.350
2025-07-02 12:15:00,0.500
2025-07-02 12:45:00,0.480
2025-07-02 13:45:00,0.570
2025-07-02 15:00:00,1.12
2025-07-02 15:30:00,1.39
2025-07-03 09:30:00,1.89
2025-07-03 09:45:00,1.90
2025-07-03 10:00:00,1.89
2025-07-03 11:00:00,1.73
2025-07-03 11:15:00,1.36
2025-07-03 11:30:00,1.05
2025-07-03 12:15:00,1.13
2025-07-03 12:30:00,1.10
2025-07-03 12:45:00,1.15
2025-07-03 13:00:00,1.42
2025-07-03 14:00:00,1.07
2025-07-03 14:30:00,0.760
2025-07-03 14:45:00,0.960
2025-07-03 15:00:00,1.37
2025-07-04 00:15:00,0
2025-07-04 03:45:00,0
2025-07-04 04:00:00,0.230
2025-07-04 05:15:00,0.400
2025-07-04 06:00:00,0.0200
2025-07-04 06:15:00,0.250
2025-07-04 07:15:00,0.260
2025-07-04 07:30:00,0.0700
2025-07-04 07:45:00,0.345
2025-07-04 08:00:00,0.340
2025-07-04 08:15:00,0.803
2025-07-04 08:30:00,1.40
2025-07-04 08:45:00,1.47
2025-07-04 09:00:00,1.79
2025-07-04 09:15:00,1.97
2025-07-04 09:30:00,2.01
2025-07-04 09:45:00,1.84
2025-07-04 10:00:00,1.72
2025-07-04 10:15:00,1.55
2025-07-04 10:30:00,1.92
2025-07-04 11:00:00,1.69
2025-07-04 12:30:00,1.72
2025-07-04 18:15:00,-0.085
2025-07-04 18:30:00,0
2025-07-04 18:45:00,0.204
2025-07-04 19:00:00,0.176
2025-07-04 19:15:00,-0.030
2025-07-04 19:30:00,0.129
2025-07-04 19:45:00,0.178
2025-07-04 20:00:00,0.198
2025-07-04 20:15:00,-0.018
2025-07-04 21:00:00,0.142
2025-07-04 21:15:00,0.0945
2025-07-04 21:30:00,0.0317
2025-07-04 21:45:00,0.131
2025-07-04 22:00:00,0.00800
2025-07-04 22:15:00,0.194
2025-07-04 22:30:00,-0.013
2025-07-04 22:45:00,-0.040
2025-07-04 23:00:00,-0.12
2025-07-04 23:15:00,0.190
2025-07-04 23:30:00,-0.020
2025-07-04 23:45:00,0.120
2025-07-05 00:00:00,-0.035
2025-07-05 00:15:00,-0.040
2025-07-05 00:30:00,0.185
2025-07-05 01:30:00,0.110
2025-07-05 06:00:00,0.185
2025-07-05 06:15:00,0.00600
2025-07-05 06:30:00,-0.030
2025-07-05 06:45:00,0.195
2025-07-05 07:00:00,0.105
2025-07-05 07:15:00,-0.024
2025-07-05 07:30:00,-0.038
2025-07-05 07:45:00,0.0678
2025-07-05 08:00:00,0.322
2025-07-05 08:15:00,0.00250
2025-07-05 08:30:00,0.0638
2025-07-05 08:45:00,0.158
2025-07-05 09:00:00,0.184
2025-07-05 09:15:00,0.192
2025-07-05 09:30:00,0.154
2025-07-05 09:45:00,-0.030
2025-07-05 10:00:00,0.0350
2025-07-05 10:15:00,0.118
2025-07-05 10:30:00,0.183
2025-07-05 10:45:00,0.0220
2025-07-05 11:00:00,-0.095
2025-07-05 11:15:00,-0.071
2025-07-05 11:30:00,0.0491
2025-07-05 11:45:00,0.190
2025-07-05 12:00:00,-0.043
2025-07-05 12:15:00,0.113
2025-07-05 12:30:00,0.0450
2025-07-05 12:45:00,0.150
2025-07-05 13:00:00,0.0483
2025-07-05 13:15:00,-0.11
2025-07-05 13:30:00,0.0800
2025-07-05 13:45:00,0.235
2025-07-05 14:00:00,0.250
2025-07-05 14:15:00,0.390
2025-07-05 14:30:00,0.160
