"Time","Fase C"
2025-09-30 13:00:00,6.31
2025-09-30 13:15:00,7.00
2025-09-30 13:30:00,8.33
2025-09-30 13:45:00,6.59
2025-09-30 14:00:00,6.25
2025-09-30 14:15:00,6.77
2025-09-30 14:30:00,7.90
2025-09-30 14:45:00,9.14
2025-09-30 15:00:00,9.20
2025-09-30 15:15:00,8.91
2025-09-30 15:30:00,9.69
2025-09-30 15:45:00,10.1
2025-09-30 16:00:00,10.1
2025-09-30 16:15:00,10.0
2025-09-30 16:30:00,9.63
2025-09-30 16:45:00,9.51
2025-09-30 17:00:00,7.55
2025-09-30 17:15:00,7.32
2025-09-30 17:30:00,7.64
2025-09-30 17:45:00,7.45
2025-09-30 18:00:00,7.72
2025-09-30 18:15:00,7.65
2025-09-30 18:30:00,6.60
2025-09-30 18:45:00,6.49
2025-09-30 19:00:00,6.49
2025-09-30 19:15:00,4.56
2025-09-30 19:30:00,5.24
2025-09-30 19:45:00,5.21
2025-09-30 20:00:00,4.89
2025-09-30 20:15:00,4.98
2025-09-30 20:30:00,4.66
2025-09-30 20:45:00,4.74
2025-09-30 21:00:00,4.93
2025-09-30 21:15:00,5.18
2025-09-30 21:30:00,4.57
2025-09-30 21:45:00,4.64
2025-09-30 22:00:00,4.29
2025-09-30 22:15:00,4.36
2025-09-30 22:30:00,4.84
2025-09-30 22:45:00,4.55
2025-09-30 23:00:00,4.76
2025-09-30 23:15:00,4.35
2025-09-30 23:30:00,4.61
2025-09-30 23:45:00,4.44

