"Time","Fase C"
2025-08-01 02:30:00,2.68
2025-08-01 06:00:00,2.72
2025-08-01 13:15:00,1
2025-08-01 15:00:00,1.14
2025-08-01 18:30:00,1.89
2025-08-01 19:45:00,2.49
2025-08-01 21:00:00,1.40
2025-08-01 21:30:00,2
2025-08-01 22:30:00,2.56
2025-08-01 23:00:00,2.17
2025-08-01 23:15:00,1.69
2025-08-01 23:45:00,1.72
2025-08-02 00:00:00,2.75
2025-08-02 00:30:00,2.01
2025-08-02 00:45:00,1.87
2025-08-02 01:00:00,1.91
2025-08-02 01:15:00,2.60
2025-08-02 03:30:00,1.63
2025-08-02 06:15:00,1.92
2025-08-02 06:30:00,2.31
2025-08-02 06:45:00,2.06
2025-08-02 07:45:00,0.500
2025-08-02 10:30:00,1.14
2025-08-02 11:00:00,0.860
2025-08-02 12:15:00,0.830
2025-08-02 12:45:00,-0.48
2025-08-02 13:15:00,1.14
2025-08-02 14:15:00,0.210
2025-08-02 14:45:00,0.730
2025-08-02 15:15:00,0.460
2025-08-02 15:30:00,0.720
2025-08-02 16:00:00,-0.020
2025-08-02 16:45:00,0.835
2025-08-02 18:30:00,0.830
2025-08-02 19:15:00,1.63
2025-08-02 19:30:00,2.12
2025-08-02 19:45:00,2.17
2025-08-02 20:00:00,1.64
2025-08-02 20:30:00,2.25
2025-08-02 21:15:00,1.09
2025-08-02 21:30:00,1.68
2025-08-02 22:15:00,1.85
2025-08-04 02:45:00,1.18
2025-08-04 03:00:00,3.34
2025-08-04 03:15:00,1.69
2025-08-04 03:45:00,1.72
2025-08-04 04:00:00,2.52
2025-08-04 04:45:00,1.52
2025-08-04 05:00:00,2.07
2025-08-04 05:15:00,1.39
2025-08-04 05:30:00,1.92
2025-08-05 08:30:00,0.0200
2025-08-05 10:15:00,0.0950
2025-08-06 04:15:00,1.91
2025-08-07 09:30:00,-1.5
2025-08-07 09:45:00,-1.2
2025-08-07 10:00:00,-0.80
2025-08-07 10:15:00,-0.89
2025-08-07 10:30:00,-0.85
2025-08-07 10:45:00,-1.7
2025-08-08 19:15:00,1.83
2025-08-08 19:45:00,2.53
2025-08-08 20:30:00,1.91
2025-08-08 21:00:00,1.67
2025-08-08 21:30:00,1.59
2025-08-08 21:45:00,1.64
2025-08-08 22:15:00,0.950
2025-08-08 23:45:00,1.53
2025-08-09 00:00:00,1.00
2025-08-09 00:15:00,1.80
2025-08-09 00:30:00,1.51
2025-08-09 00:45:00,1.41
2025-08-09 01:00:00,1.44
2025-08-09 01:30:00,1
2025-08-09 01:45:00,1.49
2025-08-09 02:15:00,0.780
2025-08-09 02:30:00,1.56
2025-08-09 02:45:00,1.60
2025-08-09 03:00:00,1.74
2025-08-09 03:15:00,1.55
2025-08-09 03:30:00,1.47
2025-08-09 04:00:00,1.62
2025-08-09 04:15:00,2.20
2025-08-09 04:30:00,2.54
2025-08-09 04:45:00,1.84
2025-08-09 05:00:00,1.63
2025-08-09 05:30:00,2.29
2025-08-09 05:45:00,0.970
2025-08-09 06:00:00,1.23
2025-08-09 06:15:00,1.57
2025-08-09 06:30:00,1.01
2025-08-09 07:00:00,2.09
2025-08-09 07:30:00,-0.83
2025-08-09 07:45:00,0.150
2025-08-09 08:00:00,-0.61
2025-08-09 08:15:00,-0.34
2025-08-09 08:30:00,-0.31
2025-08-09 08:45:00,0.0775
2025-08-09 09:00:00,-0.52
2025-08-09 09:15:00,-0.42
2025-08-09 09:30:00,-0.30
2025-08-09 09:45:00,0.285
2025-08-09 10:00:00,-0.19
2025-08-09 10:15:00,-0.023
2025-08-09 10:30:00,0.167
2025-08-09 10:45:00,-0.040
2025-08-09 11:00:00,0.540
2025-08-09 11:15:00,0.340
2025-08-09 11:30:00,0.465
2025-08-09 11:45:00,-0.52
2025-08-09 12:00:00,-0.010
2025-08-09 13:00:00,0.250
2025-08-09 13:15:00,0.643
2025-08-09 13:45:00,-0.51
2025-08-09 14:00:00,0.678
2025-08-09 14:15:00,0.400
2025-08-09 14:45:00,0.0100
2025-08-09 15:00:00,-0.045
2025-08-09 15:15:00,0.370
2025-08-09 15:30:00,0.660
2025-08-09 15:45:00,0.546
2025-08-09 16:00:00,-0.020
2025-08-09 16:15:00,0.439
2025-08-09 16:30:00,0.782
2025-08-09 16:45:00,0.587
2025-08-09 17:00:00,0.303
2025-08-09 17:15:00,0.382
2025-08-09 17:30:00,-0.44
2025-08-09 17:45:00,0.315
2025-08-10 11:45:00,-0.24
2025-08-10 13:30:00,-0.41
2025-08-10 14:00:00,0.190
2025-08-10 14:15:00,0.645
2025-08-10 14:45:00,0.215
2025-08-10 15:15:00,-1.0
2025-08-11 03:30:00,1.01
2025-08-11 15:45:00,2
2025-08-15 11:15:00,-0.25
2025-08-15 11:30:00,-0.28
2025-08-16 00:30:00,1.58
2025-08-16 08:15:00,-0.93
2025-08-16 09:30:00,0.0800
2025-08-16 09:45:00,-0.45
2025-08-16 13:45:00,0.180
2025-08-16 14:30:00,0.250
2025-08-17 12:00:00,0.690
2025-08-20 00:00:00,2.91
2025-08-20 02:30:00,1.92
2025-08-20 05:00:00,2.22

