"Time","Fase A"
2025-08-01 02:30:00,0.420
2025-08-01 06:00:00,1.23
2025-08-01 13:15:00,2.83
2025-08-01 15:00:00,0.680
2025-08-01 18:30:00,1.61
2025-08-01 19:45:00,1.42
2025-08-01 21:00:00,1.34
2025-08-01 21:30:00,1.73
2025-08-01 22:30:00,2.38
2025-08-01 23:00:00,1.12
2025-08-01 23:15:00,2.56
2025-08-01 23:45:00,1.47
2025-08-02 00:00:00,2.41
2025-08-02 00:30:00,1.50
2025-08-02 00:45:00,1.63
2025-08-02 01:00:00,1.39
2025-08-02 01:15:00,2.51
2025-08-02 03:30:00,2.63
2025-08-02 06:15:00,1.79
2025-08-02 06:30:00,2.47
2025-08-02 06:45:00,2.34
2025-08-02 07:45:00,1.11
2025-08-02 10:30:00,0.740
2025-08-02 11:00:00,0.730
2025-08-02 12:15:00,0.740
2025-08-02 12:45:00,1.41
2025-08-02 13:15:00,0.790
2025-08-02 14:15:00,1.46
2025-08-02 14:45:00,0.420
2025-08-02 15:15:00,0.580
2025-08-02 15:30:00,0.790
2025-08-02 16:00:00,1.20
2025-08-02 16:45:00,1.06
2025-08-02 18:30:00,2.42
2025-08-02 19:15:00,1.53
2025-08-02 19:30:00,2.16
2025-08-02 19:45:00,2.04
2025-08-02 20:00:00,2.20
2025-08-02 20:30:00,2.24
2025-08-02 21:15:00,2.56
2025-08-02 21:30:00,1.51
2025-08-02 22:15:00,2.24
2025-08-04 02:45:00,1.51
2025-08-04 03:00:00,1.53
2025-08-04 03:15:00,1.55
2025-08-04 03:45:00,2.08
2025-08-04 04:00:00,3.22
2025-08-04 04:45:00,1.09
2025-08-04 05:00:00,0.910
2025-08-04 05:15:00,1.70
2025-08-04 05:30:00,1.72
2025-08-05 08:30:00,1.30
2025-08-05 10:15:00,0.605
2025-08-06 04:15:00,1.08
2025-08-07 09:30:00,0.540
2025-08-07 09:45:00,0.510
2025-08-07 10:00:00,0.430
2025-08-07 10:15:00,0.223
2025-08-07 10:30:00,0.810
2025-08-07 10:45:00,0.710
2025-08-08 19:15:00,1.44
2025-08-08 19:45:00,1.01
2025-08-08 20:30:00,2.02
2025-08-08 21:00:00,1.50
2025-08-08 21:30:00,1.52
2025-08-08 21:45:00,1.19
2025-08-08 22:15:00,1.64
2025-08-08 23:45:00,1.66
2025-08-09 00:00:00,2.09
2025-08-09 00:15:00,1.40
2025-08-09 00:30:00,1.55
2025-08-09 00:45:00,1.99
2025-08-09 01:00:00,1.44
2025-08-09 01:30:00,1.41
2025-08-09 01:45:00,2.61
2025-08-09 02:15:00,0.980
2025-08-09 02:30:00,2.69
2025-08-09 02:45:00,2.62
2025-08-09 03:00:00,2.21
2025-08-09 03:15:00,1.39
2025-08-09 03:30:00,2.51
2025-08-09 04:00:00,1.12
2025-08-09 04:15:00,1.12
2025-08-09 04:30:00,1.43
2025-08-09 04:45:00,1.65
2025-08-09 05:00:00,1.57
2025-08-09 05:30:00,2.55
2025-08-09 05:45:00,2.03
2025-08-09 06:00:00,2.39
2025-08-09 06:15:00,1.97
2025-08-09 06:30:00,1.63
2025-08-09 07:00:00,1.24
2025-08-09 07:30:00,0.468
2025-08-09 07:45:00,0.280
2025-08-09 08:00:00,1.56
2025-08-09 08:15:00,1.53
2025-08-09 08:30:00,1.41
2025-08-09 08:45:00,0.913
2025-08-09 09:00:00,0.360
2025-08-09 09:15:00,0.370
2025-08-09 09:30:00,-0.11
2025-08-09 09:45:00,-0.27
2025-08-09 10:00:00,0.365
2025-08-09 10:15:00,0.247
2025-08-09 10:30:00,0.343
2025-08-09 10:45:00,0.0900
2025-08-09 11:00:00,0.175
2025-08-09 11:15:00,0.00500
2025-08-09 11:30:00,-0.055
2025-08-09 11:45:00,0.190
2025-08-09 12:00:00,0.315
2025-08-09 13:00:00,0.853
2025-08-09 13:15:00,1.02
2025-08-09 13:45:00,1.22
2025-08-09 14:00:00,1.03
2025-08-09 14:15:00,0.680
2025-08-09 14:45:00,1.20
2025-08-09 15:00:00,0.715
2025-08-09 15:15:00,1.23
2025-08-09 15:30:00,0.835
2025-08-09 15:45:00,0.578
2025-08-09 16:00:00,1.03
2025-08-09 16:15:00,0.167
2025-08-09 16:30:00,0.427
2025-08-09 16:45:00,0.0633
2025-08-09 17:00:00,0.0600
2025-08-09 17:15:00,0.649
2025-08-09 17:30:00,0.380
2025-08-09 17:45:00,1.07
2025-08-10 11:45:00,0.590
2025-08-10 13:30:00,0.645
2025-08-10 14:00:00,0.290
2025-08-10 14:15:00,0.945
2025-08-10 14:45:00,0.200
2025-08-10 15:15:00,-0.070
2025-08-11 03:30:00,1.33
2025-08-11 15:45:00,1.31
2025-08-15 11:15:00,-0.080
2025-08-15 11:30:00,-0.040
2025-08-16 00:30:00,1.13
2025-08-16 08:15:00,-0.32
2025-08-16 09:30:00,-0.43
2025-08-16 09:45:00,0
2025-08-16 13:45:00,0.320
2025-08-16 14:30:00,0.0300
2025-08-17 12:00:00,0.610
2025-08-20 00:00:00,2.05
2025-08-20 02:30:00,0.680
2025-08-20 05:00:00,1.34

