"Time","Fase A"
2025-08-01 00:00:00,0.905
2025-08-01 00:15:00,1.55
2025-08-01 00:30:00,0.939
2025-08-01 00:45:00,1.54
2025-08-01 01:00:00,1.22
2025-08-01 01:15:00,1.11
2025-08-01 01:30:00,1.58
2025-08-01 01:45:00,1.33
2025-08-01 02:00:00,1.39
2025-08-01 02:15:00,1.38
2025-08-01 02:30:00,0.998
2025-08-01 02:45:00,1.12
2025-08-01 03:00:00,0.892
2025-08-01 03:15:00,1.31
2025-08-01 03:30:00,0.909
2025-08-01 03:45:00,0.914
2025-08-01 04:00:00,0.753
2025-08-01 04:15:00,0.785
2025-08-01 04:30:00,0.703
2025-08-01 04:45:00,1.23
2025-08-01 05:00:00,0.819
2025-08-01 05:15:00,0.831
2025-08-01 05:30:00,1.48
2025-08-01 05:45:00,1.01
2025-08-01 06:00:00,0.830
2025-08-01 06:15:00,1.21
2025-08-01 06:30:00,0.888
2025-08-01 06:45:00,1.14
2025-08-01 07:00:00,0.968
2025-08-01 07:15:00,1.02
2025-08-01 07:30:00,1.22
2025-08-01 07:45:00,1.13
2025-08-01 08:00:00,1.81
2025-08-01 08:15:00,1.08
2025-08-01 08:30:00,1.34
2025-08-01 08:45:00,1.57
2025-08-01 09:00:00,1.16
2025-08-01 09:15:00,1.19
2025-08-01 09:30:00,1.38
2025-08-01 09:45:00,1.19
2025-08-01 10:00:00,1.10
2025-08-01 10:15:00,1.23
2025-08-01 10:30:00,1.25
2025-08-01 10:45:00,3.95
2025-08-01 11:00:00,1.41
2025-08-01 11:15:00,1.01
2025-08-01 11:30:00,1.43
2025-08-01 11:45:00,0.792
2025-08-01 12:00:00,0.848
2025-08-01 12:15:00,0.835
2025-08-01 12:30:00,1.22
2025-08-01 12:45:00,1.24
2025-08-01 13:00:00,1.24
2025-08-01 13:15:00,0.960
2025-08-01 13:30:00,0.997
2025-08-01 13:45:00,0.923
2025-08-01 14:00:00,1.25
2025-08-01 14:30:00,1.48
2025-08-01 15:00:00,1.52
2025-08-01 15:15:00,1.57
2025-08-01 15:30:00,1.09
2025-08-01 15:45:00,1.69
2025-08-01 16:00:00,1.07
2025-08-01 16:15:00,2.53
2025-08-01 16:30:00,1.59
2025-08-01 16:45:00,1.79
2025-08-01 17:00:00,1.33
2025-08-01 17:15:00,1.42
2025-08-01 17:30:00,1.30
2025-08-01 17:45:00,1.05
2025-08-01 18:00:00,1.30
2025-08-01 18:15:00,1.28
2025-08-01 18:30:00,1.42
2025-08-01 18:45:00,1.22
2025-08-01 19:00:00,1.78
2025-08-01 19:15:00,2.07
2025-08-01 19:30:00,1.74
2025-08-01 19:45:00,1.49
2025-08-01 20:00:00,1.36
2025-08-01 20:15:00,0.866
2025-08-01 20:30:00,1.21
2025-08-01 20:45:00,0.700
2025-08-01 21:00:00,0.780
2025-08-01 21:15:00,1.42
2025-08-01 21:30:00,0.960
2025-08-01 21:45:00,0.560
2025-08-01 22:00:00,0.970
2025-08-01 22:15:00,1.30
2025-08-01 22:30:00,1.24
2025-08-01 22:45:00,0.870
2025-08-01 23:15:00,2.58
2025-08-01 23:30:00,3.09
2025-08-01 23:45:00,3.28
2025-08-02 00:00:00,1.33
2025-08-02 00:30:00,1.56
2025-08-02 00:45:00,1.29
2025-08-02 01:00:00,1.31
2025-08-02 01:15:00,1.64
2025-08-02 01:30:00,1.60
2025-08-02 01:45:00,1.19
2025-08-02 02:00:00,1.28
2025-08-02 02:15:00,0.830
2025-08-02 02:45:00,1.91
2025-08-02 03:00:00,1.40
2025-08-02 03:15:00,1.47
2025-08-02 03:45:00,0.940
2025-08-02 04:15:00,0.605
2025-08-02 04:30:00,1.01
2025-08-02 05:00:00,1.66
2025-08-02 05:15:00,1.03
2025-08-02 05:30:00,1.16
2025-08-02 05:45:00,1.94
2025-08-02 06:00:00,1.16
2025-08-02 06:15:00,1.24
2025-08-02 06:30:00,1.07
2025-08-02 06:45:00,1.47
2025-08-02 07:00:00,1.72
2025-08-02 07:15:00,1.15
2025-08-02 07:30:00,1.12
2025-08-02 07:45:00,1.19
2025-08-02 08:00:00,0.977
2025-08-02 08:15:00,1.72
2025-08-02 09:45:00,1.28
2025-08-02 10:00:00,1.22
2025-08-02 10:15:00,2.97
2025-08-02 10:30:00,2.46
2025-08-02 10:45:00,1.56
2025-08-02 11:00:00,1.46
2025-08-02 11:15:00,1.69
2025-08-02 11:30:00,1.88
2025-08-02 11:45:00,2.14
2025-08-02 12:00:00,1.34
2025-08-02 12:15:00,1.37
2025-08-02 12:45:00,1.98
2025-08-02 13:15:00,3.21
2025-08-02 13:30:00,3.04
2025-08-02 13:45:00,3.46
2025-08-02 14:15:00,1.18
2025-08-02 14:30:00,1.26
2025-08-02 14:45:00,0.725
2025-08-02 15:00:00,1.26
2025-08-02 15:30:00,1.40
2025-08-02 16:00:00,2.08
2025-08-02 16:15:00,2.57
2025-08-02 16:30:00,1.89
2025-08-02 16:45:00,1.91
2025-08-02 17:00:00,1.89
2025-08-02 17:15:00,1.66
2025-08-02 17:45:00,3.00
2025-08-02 18:45:00,3.13
2025-08-02 19:00:00,1.37
2025-08-02 19:15:00,3.03
2025-08-02 19:30:00,3.65
2025-08-02 20:30:00,0.770
2025-08-02 21:00:00,1.58
2025-08-02 21:15:00,1.31
2025-08-02 21:30:00,1.60
2025-08-02 22:15:00,0.940
2025-08-02 22:30:00,1.51
2025-08-03 00:00:00,1.81
2025-08-03 02:30:00,1.00
2025-08-03 04:30:00,1.15
2025-08-03 06:15:00,1.35
2025-08-03 11:45:00,4.62
2025-08-03 12:00:00,2.13
2025-08-03 13:00:00,0.960
2025-08-04 00:45:00,1.07
2025-08-04 01:00:00,0.675
2025-08-04 01:15:00,1.38
2025-08-04 01:30:00,1.24
2025-08-04 01:45:00,1.07
2025-08-04 02:00:00,0.850
2025-08-04 02:15:00,0.910
2025-08-04 02:30:00,1.48
2025-08-04 02:45:00,1.21
2025-08-04 03:00:00,1.58
2025-08-04 03:15:00,1.37
2025-08-04 03:30:00,1.81
2025-08-04 03:45:00,1.97
2025-08-04 04:00:00,1.38
2025-08-04 04:15:00,1.62
2025-08-04 04:30:00,1.55
2025-08-04 04:45:00,1.70
2025-08-04 05:00:00,1.65
2025-08-04 05:15:00,1.06
2025-08-04 05:30:00,1.21
2025-08-04 06:15:00,1.72
2025-08-04 06:30:00,1.06
2025-08-04 06:45:00,0.810
2025-08-04 07:15:00,1.03
2025-08-04 07:30:00,0.900
2025-08-04 07:45:00,1.24
2025-08-04 08:45:00,1.55
2025-08-04 09:00:00,2.46
2025-08-04 09:15:00,0.840
2025-08-04 09:45:00,1.10
2025-08-04 10:15:00,1.53
2025-08-04 10:30:00,1.59
2025-08-04 10:45:00,1.07
2025-08-04 11:00:00,3.69
2025-08-04 11:15:00,1.77
2025-08-04 11:30:00,1.65
2025-08-04 11:45:00,1.16
2025-08-04 12:15:00,0.980
2025-08-04 13:45:00,1.04
2025-08-04 14:30:00,2.07
2025-08-04 14:45:00,2.96
2025-08-04 15:00:00,1.12
2025-08-04 15:15:00,0.770
2025-08-04 22:45:00,1.31
2025-08-05 02:30:00,2.74
2025-08-05 06:00:00,1.73
2025-08-05 06:15:00,0.550
2025-08-05 06:45:00,1.06
2025-08-05 07:00:00,0.914
2025-08-05 07:15:00,1.69
2025-08-05 07:30:00,1.73
2025-08-05 07:45:00,1.08
2025-08-05 08:00:00,1.36
2025-08-05 08:15:00,1.45
2025-08-05 08:30:00,1.30
2025-08-05 08:45:00,1.23
2025-08-05 09:00:00,1.49
2025-08-05 09:15:00,1.57
2025-08-05 09:30:00,1.53
2025-08-05 09:45:00,0.792
2025-08-05 10:00:00,1.40
2025-08-05 10:15:00,1.39
2025-08-05 10:30:00,1.04
2025-08-05 10:45:00,1.26
2025-08-05 11:00:00,1.21
2025-08-05 11:15:00,1.06
2025-08-05 11:30:00,1.27
2025-08-05 11:45:00,1.18
2025-08-05 12:00:00,2.03
2025-08-05 12:15:00,1.59
2025-08-05 12:30:00,1.44
2025-08-05 12:45:00,1.52
2025-08-05 13:00:00,1.14
2025-08-05 13:15:00,1.63
2025-08-05 13:30:00,3.14
2025-08-05 13:45:00,1.33
2025-08-05 14:00:00,1.68
2025-08-05 14:15:00,1.14
2025-08-05 14:30:00,0.866
2025-08-05 14:45:00,1.04
2025-08-05 15:00:00,0.982
2025-08-05 15:15:00,1.02
2025-08-05 15:30:00,1.71
2025-08-05 15:45:00,1.66
2025-08-05 16:00:00,1.56
2025-08-05 17:45:00,1.76
2025-08-05 18:00:00,1.87
2025-08-05 18:15:00,2.29
2025-08-05 18:30:00,1.22
2025-08-05 18:45:00,1.83
2025-08-05 19:00:00,1.61
2025-08-05 19:15:00,1.87
2025-08-05 19:30:00,1.91
2025-08-05 19:45:00,1.51
2025-08-05 20:00:00,2.31
2025-08-05 20:15:00,2.08
2025-08-05 20:30:00,1.65
2025-08-05 20:45:00,0.660
2025-08-05 21:00:00,1.98
2025-08-05 21:15:00,2.53
2025-08-05 21:30:00,1.11
2025-08-05 21:45:00,0.918
2025-08-05 22:00:00,1.97
2025-08-05 22:15:00,0.829
2025-08-05 22:30:00,0.865
2025-08-05 22:45:00,1.05
2025-08-05 23:00:00,2.01
2025-08-05 23:15:00,1.13
2025-08-05 23:30:00,0.314
2025-08-05 23:45:00,1
2025-08-06 00:00:00,0.960
2025-08-06 00:15:00,0.860
2025-08-06 00:30:00,1.08
2025-08-06 00:45:00,1.19
2025-08-06 01:00:00,1.38
2025-08-06 01:15:00,1.27
2025-08-06 01:30:00,2.06
2025-08-06 01:45:00,1.60
2025-08-06 02:00:00,1.21
2025-08-06 02:15:00,1.57
2025-08-06 02:45:00,1.30
2025-08-06 03:00:00,1.26
2025-08-06 03:15:00,1.38
2025-08-06 03:30:00,0.810
2025-08-06 03:45:00,0.803
2025-08-06 04:00:00,0.670
2025-08-06 04:15:00,0.900
2025-08-06 04:30:00,1.52
2025-08-06 04:45:00,0.970
2025-08-06 05:00:00,1.12
2025-08-06 05:30:00,1.45
2025-08-06 05:45:00,1.20
2025-08-06 06:00:00,0.497
2025-08-06 06:15:00,1.63
2025-08-06 06:30:00,1.23
2025-08-06 06:45:00,1.06
2025-08-06 07:00:00,1.02
2025-08-06 07:15:00,1.16
2025-08-06 07:30:00,0.551
2025-08-06 07:45:00,0.947
2025-08-06 08:00:00,1.66
2025-08-06 08:15:00,1.53
2025-08-06 08:30:00,1.27
2025-08-06 08:45:00,0.979
2025-08-06 09:00:00,0.862
2025-08-06 09:15:00,0.802
2025-08-06 09:30:00,1.01
2025-08-06 09:45:00,2.62
2025-08-06 10:00:00,1.58
2025-08-06 10:15:00,1.45
2025-08-06 10:30:00,1.64
2025-08-06 10:45:00,1.11
2025-08-06 11:00:00,1.33
2025-08-06 11:15:00,1.35
2025-08-06 11:30:00,1.79
2025-08-06 11:45:00,1.10
2025-08-06 12:00:00,1.25
2025-08-06 12:15:00,1.86
2025-08-06 12:30:00,1.56
2025-08-06 12:45:00,1.44
2025-08-06 13:00:00,1.73
2025-08-06 13:15:00,1.70
2025-08-06 13:30:00,1.51
2025-08-06 13:45:00,1.43
2025-08-06 14:00:00,1.35
2025-08-06 14:15:00,1.11
2025-08-06 14:30:00,1.31
2025-08-06 14:45:00,1.28
2025-08-06 15:00:00,0.989
2025-08-06 15:15:00,0.813
2025-08-06 15:30:00,0.834
2025-08-06 15:45:00,0.761
2025-08-06 16:00:00,1.45
2025-08-06 16:15:00,0.670
2025-08-06 16:30:00,1.27
2025-08-06 16:45:00,2.74
2025-08-06 17:00:00,1.89
2025-08-06 17:15:00,1.35
2025-08-06 17:30:00,1.44
2025-08-06 17:45:00,1.11
2025-08-06 18:00:00,1.43
2025-08-06 18:30:00,3.40
2025-08-06 18:45:00,1.89
2025-08-06 19:15:00,1.14
2025-08-06 20:15:00,2.39
2025-08-07 09:30:00,1.17
2025-08-07 09:45:00,1.05
2025-08-07 10:00:00,1.75
2025-08-07 10:15:00,0.935
2025-08-07 10:30:00,1.17
2025-08-07 10:45:00,1.83
2025-08-07 11:00:00,1.03
2025-08-07 11:30:00,0.827
2025-08-07 12:00:00,1.48
2025-08-07 12:15:00,1.52
2025-08-07 13:15:00,1.36
2025-08-07 13:30:00,2.47
2025-08-07 13:45:00,1.01
2025-08-07 14:00:00,1.33
2025-08-07 14:15:00,1.32
2025-08-07 14:30:00,1.42
2025-08-07 14:45:00,0.943
2025-08-07 15:00:00,1.07
2025-08-07 15:15:00,1.30
2025-08-07 15:30:00,1.07
2025-08-07 15:45:00,0.563
2025-08-07 16:00:00,0.932
2025-08-07 16:15:00,1.16
2025-08-07 16:30:00,1.12
2025-08-07 16:45:00,0.898
2025-08-07 17:00:00,0.581
2025-08-07 17:15:00,0.631
2025-08-07 17:30:00,2.55
2025-08-07 20:45:00,2
2025-08-07 21:15:00,1.95
2025-08-08 05:45:00,0.897
2025-08-08 06:00:00,1.43
2025-08-08 06:30:00,1.11
2025-08-08 06:45:00,1.12
