"Time","Fase C"
2025-08-01 00:00:00,0.645
2025-08-01 00:30:00,0.780
2025-08-01 01:30:00,0.720
2025-08-01 02:30:00,1.11
2025-08-01 02:45:00,0.887
2025-08-01 03:15:00,0.684
2025-08-01 03:30:00,0.910
2025-08-01 03:45:00,1.13
2025-08-01 04:00:00,1.01
2025-08-01 04:15:00,0.960
2025-08-01 04:30:00,1.03
2025-08-01 04:45:00,0.690
2025-08-01 05:00:00,1.05
2025-08-01 05:15:00,0.797
2025-08-01 05:30:00,0.940
2025-08-01 05:45:00,1.03
2025-08-01 06:00:00,0.968
2025-08-01 06:15:00,0.820
2025-08-01 06:30:00,0.916
2025-08-01 06:45:00,0.898
2025-08-01 07:00:00,0.913
2025-08-01 07:15:00,0.470
2025-08-01 07:30:00,0.180
2025-08-01 08:00:00,0.177
2025-08-01 08:15:00,0.425
2025-08-01 08:30:00,0.390
2025-08-01 08:45:00,0.590
2025-08-01 09:15:00,0.800
2025-08-01 09:30:00,0.585
2025-08-01 09:45:00,0.590
2025-08-01 10:00:00,0.945
2025-08-01 10:15:00,0.670
2025-08-01 10:30:00,0.590
2025-08-01 11:00:00,0.610
2025-08-01 11:15:00,0.280
2025-08-01 11:30:00,0.0550
2025-08-01 11:45:00,0.190
2025-08-01 12:15:00,0.300
2025-08-01 12:30:00,0.500
2025-08-01 14:00:00,0.730
2025-08-01 16:30:00,1.11
2025-08-01 17:00:00,0.690
2025-08-01 18:30:00,0.990
2025-08-01 19:15:00,0.750
2025-08-01 19:30:00,1.11
2025-08-01 19:45:00,0.920
2025-08-01 20:00:00,1.06
2025-08-01 20:30:00,0.925
2025-08-01 20:45:00,1.25
2025-08-01 21:00:00,1.02
2025-08-01 21:15:00,1.18
2025-08-01 21:45:00,0.850
2025-08-01 22:00:00,1.24
2025-08-01 22:45:00,0.915
2025-08-01 23:00:00,1.40
2025-08-01 23:15:00,0.580
2025-08-01 23:30:00,0.790
2025-08-01 23:45:00,0.970
2025-08-02 00:30:00,0.845
2025-08-02 01:00:00,0.585
2025-08-02 01:30:00,0.650
2025-08-02 01:45:00,1.08
2025-08-02 02:15:00,0.740
2025-08-02 02:30:00,0.150
