"Time","Fase A"
2025-03-01 00:00:00,0.0602
2025-03-01 00:15:00,0.0202
2025-03-01 00:30:00,0.0121
2025-03-01 00:45:00,0.0145
2025-03-01 01:00:00,0.0645
2025-03-01 01:15:00,0.0238
2025-03-01 01:30:00,0.0329
2025-03-01 01:45:00,0.0738
2025-03-01 02:00:00,0.0365
2025-03-01 02:15:00,0.0333
2025-03-01 02:30:00,0.0876
2025-03-01 02:45:00,0.0324
2025-03-01 03:00:00,0.0283
2025-03-01 03:15:00,0.0681
2025-03-01 03:30:00,0.0300
2025-03-01 03:45:00,0.0239
2025-03-01 04:00:00,0.0810
2025-03-01 04:15:00,0.0254
2025-03-01 04:30:00,0.0319
2025-03-01 04:45:00,0.0744
2025-03-01 05:00:00,0.0372
2025-03-01 05:15:00,0.0340
2025-03-01 05:30:00,0.0375
2025-03-01 05:45:00,0.0707
2025-03-01 06:00:00,0.0240
2025-03-01 06:15:00,0.0412
2025-03-01 06:30:00,0.117
2025-03-01 06:45:00,0.0496
2025-03-01 07:00:00,0.0453
2025-03-01 07:15:00,0.0728
2025-03-01 07:30:00,-0.021
2025-03-01 07:45:00,-0.059
2025-03-01 08:00:00,0.0277
2025-03-01 08:15:00,0.0843
2025-03-01 08:30:00,0.0280
2025-03-01 08:45:00,0.0215
2025-03-01 09:00:00,0.0579
2025-03-01 09:15:00,0.0500
2025-03-01 09:30:00,0.0337
2025-03-01 09:45:00,0.0539
2025-03-01 10:00:00,0.0975
2025-03-01 10:15:00,0.0205
2025-03-01 10:30:00,0.0432
2025-03-01 10:45:00,0.0823
2025-03-01 11:00:00,0.0430
2025-03-01 11:15:00,0.0241
2025-03-01 11:30:00,0.0253
2025-03-01 11:45:00,0.0446
2025-03-01 12:00:00,0.0238
2025-03-01 12:15:00,0.0256
2025-03-01 12:30:00,0.0700
2025-03-01 12:45:00,0.0363
2025-03-01 13:00:00,0.0282
2025-03-01 13:15:00,0.0346
2025-03-01 13:30:00,0.0242
2025-03-01 13:45:00,0.00486
2025-03-01 14:00:00,0.0451
2025-03-01 14:15:00,0.0567
2025-03-01 14:30:00,0.0289
2025-03-01 14:45:00,0.0597
2025-03-01 15:00:00,-0.0044
2025-03-01 15:15:00,0.0180
2025-03-01 15:30:00,0.0684
2025-03-01 15:45:00,0.0425
2025-03-01 16:00:00,0.0250
2025-03-01 16:15:00,0.0820
2025-03-01 16:30:00,0.0286
2025-03-01 16:45:00,0.0339
2025-03-01 17:00:00,0.0607
2025-03-01 17:15:00,0.0400
2025-03-01 17:30:00,0.0246
2025-03-01 17:45:00,0.0216
2025-03-01 18:00:00,0.0371
2025-03-01 18:15:00,-0.016
2025-03-01 18:30:00,-0.043
2025-03-01 18:45:00,-0.0033
2025-03-01 19:00:00,-0.068
2025-03-01 19:15:00,-0.029
2025-03-01 19:30:00,0.0241
2025-03-01 19:45:00,0.000323
2025-03-01 20:00:00,-0.023
2025-03-01 20:15:00,0.0147
2025-03-01 20:30:00,0.0493
2025-03-01 20:45:00,0.0120
2025-03-01 21:00:00,0.00182
2025-03-01 21:15:00,0.0426
2025-03-01 21:30:00,0.0126
2025-03-01 21:45:00,-0.00078
2025-03-01 22:00:00,0.0149
2025-03-01 22:15:00,0.0245
2025-03-01 22:30:00,-0.027
2025-03-01 22:45:00,-0.021
2025-03-01 23:00:00,0.0150
