"Time","Fase A"
2025-06-01 17:30:00,5.78
2025-06-01 17:45:00,4.96
2025-06-01 18:00:00,3.26
2025-06-01 18:15:00,3.23
2025-06-01 18:30:00,3.17
2025-06-01 18:45:00,3.11
2025-06-01 19:00:00,3.15
2025-06-01 19:15:00,2.97
2025-06-01 19:30:00,3.05
2025-06-01 19:45:00,2.96
2025-06-01 20:00:00,2.96
2025-06-01 20:15:00,2.75
2025-06-01 20:30:00,2.95
2025-06-01 20:45:00,2.99
2025-06-01 21:00:00,2.91
2025-06-01 21:15:00,2.96
2025-06-01 21:30:00,2.93
2025-06-01 21:45:00,2.80
2025-06-01 22:00:00,2.86
2025-06-01 22:15:00,3.01
2025-06-01 22:30:00,3.01
2025-06-01 22:45:00,2.82
2025-06-01 23:00:00,2.94
2025-06-01 23:15:00,2.89
2025-06-01 23:30:00,2.90
2025-06-01 23:45:00,2.86
2025-06-02 00:00:00,3.09
2025-06-02 00:15:00,2.96
2025-06-02 00:30:00,2.84
2025-06-02 00:45:00,2.87
2025-06-02 01:00:00,3.02
2025-06-02 01:15:00,3.11
2025-06-02 01:30:00,3.03
2025-06-02 01:45:00,3.04
2025-06-02 02:00:00,2.93
2025-06-02 02:15:00,2.78
2025-06-02 02:30:00,2.84
2025-06-02 02:45:00,2.78
2025-06-02 03:00:00,3.05
2025-06-02 03:15:00,3.06
2025-06-02 03:30:00,2.84
2025-06-02 03:45:00,3.08
2025-06-02 04:00:00,3.06
2025-06-02 04:15:00,2.89
2025-06-02 04:30:00,3.00
2025-06-02 04:45:00,2.89
2025-06-02 05:00:00,2.79
2025-06-02 05:15:00,2.81
2025-06-02 05:30:00,3.15
2025-06-02 05:45:00,2.89
2025-06-02 06:00:00,2.84
2025-06-02 06:15:00,2.94
2025-06-02 06:30:00,2.96
2025-06-02 06:45:00,3.76
2025-06-02 07:00:00,4.29
2025-06-02 07:15:00,6.74
2025-06-02 07:30:00,10.1
2025-06-02 07:45:00,17.4
2025-06-02 08:00:00,14.8
2025-06-02 08:15:00,15.5
2025-06-02 08:30:00,18.7
2025-06-02 08:45:00,23.1
2025-06-02 09:00:00,23.5
2025-06-02 09:15:00,24.4
2025-06-02 09:30:00,24.7
2025-06-02 09:45:00,26.3
2025-06-02 10:00:00,23.5
2025-06-02 10:15:00,26.1
2025-06-02 10:30:00,25.4
2025-06-02 10:45:00,28.3
2025-06-02 11:00:00,29.0
2025-06-02 11:15:00,28.3
2025-06-02 11:30:00,29.3
2025-06-02 11:45:00,27.3
2025-06-02 12:00:00,29.7
2025-06-02 12:15:00,30.1
2025-06-02 12:30:00,27.9
2025-06-02 12:45:00,26.5
2025-06-02 13:00:00,26.7
2025-06-02 13:15:00,27.4
