"Time","Fase C"
2025-06-01 17:30:00,3.71
2025-06-01 17:45:00,3.97
2025-06-01 18:00:00,3.81
2025-06-01 18:15:00,2.91
2025-06-01 18:30:00,2.78
2025-06-01 18:45:00,2.70
2025-06-01 19:00:00,2.95
2025-06-01 19:15:00,2.74
2025-06-01 19:30:00,2.71
2025-06-01 19:45:00,2.78
2025-06-01 20:00:00,2.90
2025-06-01 20:15:00,2.77
2025-06-01 20:30:00,2.88
2025-06-01 20:45:00,3.02
2025-06-01 21:00:00,2.67
2025-06-01 21:15:00,2.71
2025-06-01 21:30:00,2.72
2025-06-01 21:45:00,2.96
2025-06-01 22:00:00,2.81
2025-06-01 22:15:00,2.76
2025-06-01 22:30:00,2.79
2025-06-01 22:45:00,3.15
2025-06-01 23:00:00,2.82
2025-06-01 23:15:00,2.80
2025-06-01 23:30:00,2.73
2025-06-01 23:45:00,2.91
2025-06-02 00:00:00,2.72
2025-06-02 00:15:00,2.72
2025-06-02 00:30:00,2.69
2025-06-02 00:45:00,2.92
2025-06-02 01:00:00,2.73
2025-06-02 01:15:00,2.92
2025-06-02 01:30:00,2.93
2025-06-02 01:45:00,2.70
2025-06-02 02:00:00,2.71
2025-06-02 02:15:00,2.72
2025-06-02 02:30:00,2.87
2025-06-02 02:45:00,2.70
2025-06-02 03:00:00,2.65
2025-06-02 03:15:00,2.69
2025-06-02 03:30:00,2.93
2025-06-02 03:45:00,2.69
2025-06-02 04:00:00,2.81
2025-06-02 04:15:00,2.80
2025-06-02 04:30:00,2.84
2025-06-02 04:45:00,2.72
2025-06-02 05:00:00,2.65
2025-06-02 05:15:00,2.87
2025-06-02 05:30:00,2.62
2025-06-02 05:45:00,2.70
2025-06-02 06:00:00,2.62
2025-06-02 06:15:00,2.95
2025-06-02 06:30:00,2.68
2025-06-02 06:45:00,3.50
2025-06-02 07:00:00,3.27
2025-06-02 07:15:00,3.95
2025-06-02 07:30:00,5.22
2025-06-02 07:45:00,11.2
2025-06-02 08:00:00,14.7
2025-06-02 08:15:00,16.3
2025-06-02 08:30:00,17.0
2025-06-02 08:45:00,18.9
2025-06-02 09:00:00,20.4
2025-06-02 09:15:00,20.2
2025-06-02 09:30:00,22.5
2025-06-02 09:45:00,22.9
2025-06-02 10:00:00,23.0
2025-06-02 10:15:00,22.8
2025-06-02 10:30:00,24.7
2025-06-02 10:45:00,27.6
2025-06-02 11:00:00,26.3
2025-06-02 11:15:00,25.7
2025-06-02 11:30:00,24.4
2025-06-02 11:45:00,25.0
2025-06-02 12:00:00,22.4
2025-06-02 12:15:00,23.7
2025-06-02 12:30:00,22.2
2025-06-02 12:45:00,21.0
2025-06-02 13:00:00,20.4
2025-06-02 13:15:00,20.7
2025-06-02 13:30:00,26.1
2025-06-02 13:45:00,30.2
2025-06-02 14:00:00,33.2
2025-06-02 14:15:00,34.0
2025-06-02 14:30:00,36.0
2025-06-02 14:45:00,35.9
2025-06-02 15:00:00,34.4
2025-06-02 15:15:00,33.6
2025-06-02 15:30:00,30.7
2025-06-02 15:45:00,30.7
2025-06-02 16:00:00,28.1
2025-06-02 16:15:00,28.6
2025-06-02 16:30:00,27.6
2025-06-02 16:45:00,27.6
2025-06-02 17:00:00,28.8
2025-06-02 17:15:00,30.0
2025-06-02 17:30:00,27.1
2025-06-02 17:45:00,25.4
2025-06-02 18:00:00,24.6
2025-06-02 18:15:00,24.3
2025-06-02 18:30:00,22.4
2025-06-02 18:45:00,20.0
2025-06-02 19:00:00,17.9
2025-06-02 19:15:00,17.8
2025-06-02 19:30:00,16.2
2025-06-02 19:45:00,14.5
2025-06-02 20:00:00,15.2
2025-06-02 20:15:00,16.7
2025-06-02 20:30:00,11.1
2025-06-02 20:45:00,8.74
2025-06-02 21:00:00,7.45
2025-06-02 21:15:00,6.10
2025-06-02 21:30:00,5.58
2025-06-02 21:45:00,5.41
2025-06-02 22:00:00,5.30
2025-06-02 22:15:00,5.16
2025-06-02 22:30:00,4.88
2025-06-02 22:45:00,4.90
2025-06-02 23:00:00,4.47
2025-06-02 23:15:00,4.71
2025-06-02 23:30:00,4.25
2025-06-02 23:45:00,4.41
2025-06-03 00:00:00,4.45
2025-06-03 00:15:00,4.41
2025-06-03 00:30:00,4.21
2025-06-03 00:45:00,4.33
2025-06-03 01:00:00,4.44
2025-06-03 01:15:00,4.36
2025-06-03 01:30:00,4.31
2025-06-03 01:45:00,4.33
2025-06-03 02:00:00,4.69
2025-06-03 02:15:00,4.35
2025-06-03 02:30:00,4.33
2025-06-03 02:45:00,4.47
2025-06-03 03:00:00,4.44
2025-06-03 03:15:00,4.34
2025-06-03 03:30:00,4.29
2025-06-03 03:45:00,4.59
2025-06-03 04:00:00,4.29
