"Time","Fase B"
2025-10-17 11:30:00,1.96
2025-10-17 12:00:00,1.68
2025-10-17 12:30:00,1.79
2025-10-17 12:45:00,2.21
2025-10-17 13:00:00,3.14
2025-10-17 13:15:00,2.61
2025-10-17 13:30:00,2.63
2025-10-17 13:45:00,2.87
2025-10-17 14:00:00,3.08
2025-10-17 14:15:00,2.60
2025-10-17 14:30:00,5.69
2025-10-17 14:45:00,33.1
2025-10-17 15:00:00,40.1
2025-10-17 15:15:00,32.8
2025-10-17 15:30:00,32.5
2025-10-17 15:45:00,30.6
2025-10-17 16:00:00,30.0
2025-10-17 16:15:00,29.2
2025-10-17 16:30:00,27.4
2025-10-17 16:45:00,30.1
2025-10-17 17:00:00,30.3
2025-10-17 17:15:00,33.8
2025-10-17 17:30:00,33.9
2025-10-17 17:45:00,35.3
2025-10-17 18:00:00,31.6
2025-10-17 18:15:00,33.6
2025-10-17 18:30:00,31.8
2025-10-17 18:45:00,33.3
2025-10-17 19:00:00,31.6
2025-10-17 19:15:00,28.2
2025-10-17 19:30:00,27.1
2025-10-17 19:45:00,28.0
2025-10-17 20:00:00,20.2
2025-10-17 20:15:00,2.32
2025-10-17 20:30:00,1.40
2025-10-17 20:45:00,1.37
2025-10-17 21:00:00,1.40
2025-10-17 21:15:00,1.38
2025-10-17 21:30:00,0.930
2025-10-17 21:45:00,0.393
2025-10-17 22:00:00,0.507
2025-10-17 22:15:00,0.392
2025-10-17 22:30:00,0.391
2025-10-17 22:45:00,0.410
2025-10-17 23:00:00,0.411
2025-10-17 23:15:00,0.390
2025-10-17 23:30:00,0.395
2025-10-17 23:45:00,0.425
2025-10-18 00:00:00,0.413
2025-10-18 00:15:00,0.400
2025-10-18 00:30:00,0.426
2025-10-18 00:45:00,0.448
2025-10-18 01:00:00,0.397
2025-10-18 01:15:00,0.391
2025-10-18 01:30:00,0.411
2025-10-18 01:45:00,0.411
2025-10-18 02:00:00,0.390
2025-10-18 02:15:00,0.390
2025-10-18 02:30:00,0.420
2025-10-18 02:45:00,0.402
2025-10-18 03:00:00,0.390
2025-10-18 03:15:00,0.405
2025-10-18 03:30:00,0.442
2025-10-18 03:45:00,0.390
2025-10-18 04:00:00,0.390
2025-10-18 04:15:00,0.392
2025-10-18 04:30:00,0.422
2025-10-18 04:45:00,0.390
2025-10-18 05:00:00,0.390
2025-10-18 05:15:00,0.410
2025-10-18 05:30:00,0.403
2025-10-18 05:45:00,0.391
2025-10-18 06:00:00,0.413
2025-10-18 06:15:00,0.435
2025-10-18 06:30:00,0.403
2025-10-18 06:45:00,0.397
2025-10-18 07:00:00,0.547
2025-10-18 07:15:00,0.553
2025-10-18 07:30:00,0.504
2025-10-18 07:45:00,1.34
2025-10-18 08:00:00,1.83
2025-10-18 08:15:00,2.05
2025-10-18 08:30:00,2.52
2025-10-18 08:45:00,2.26
2025-10-18 09:00:00,2.21
2025-10-18 09:15:00,2.19
2025-10-18 09:30:00,2.26
2025-10-18 09:45:00,4.68
2025-10-18 10:00:00,5.59
2025-10-18 10:15:00,2.44
2025-10-18 10:30:00,2.97
2025-10-18 10:45:00,3.44
2025-10-18 11:00:00,3.33
2025-10-18 11:15:00,2.50
2025-10-18 11:30:00,2.36
2025-10-18 11:45:00,3.06
2025-10-18 12:00:00,3.20
2025-10-18 12:15:00,3.35
2025-10-18 12:30:00,3.76
2025-10-18 12:45:00,3.84
2025-10-18 13:00:00,3.91
2025-10-18 13:15:00,3.11
2025-10-18 13:30:00,2.48
2025-10-18 13:45:00,3.01
2025-10-18 14:00:00,3.59
2025-10-18 14:15:00,3.45
2025-10-18 14:30:00,3.87
2025-10-18 14:45:00,3.33
2025-10-18 15:00:00,3.44
2025-10-18 15:15:00,2.99
2025-10-18 15:30:00,3.15
2025-10-18 15:45:00,3.30
2025-10-18 16:00:00,3.41
2025-10-18 16:15:00,3.18
2025-10-18 16:30:00,3.15
2025-10-18 16:45:00,3.20
2025-10-18 17:00:00,3.15
2025-10-18 17:15:00,2.27
2025-10-18 17:30:00,1.63
2025-10-18 17:45:00,1.47
2025-10-18 18:00:00,0.907
2025-10-18 18:15:00,0.495
2025-10-18 18:30:00,0.388
2025-10-18 18:45:00,0.433
2025-10-18 19:00:00,0.399
2025-10-18 19:15:00,0.375
2025-10-18 19:30:00,0.405
2025-10-18 19:45:00,0.437
2025-10-18 20:00:00,0.385
2025-10-18 20:15:00,0.382
2025-10-18 20:30:00,0.429
2025-10-18 20:45:00,0.389
2025-10-18 21:00:00,0.397
2025-10-18 21:15:00,0.413
2025-10-18 21:30:00,0.420
2025-10-18 21:45:00,0.411
2025-10-18 22:00:00,0.379
2025-10-18 22:15:00,0.418
2025-10-18 22:30:00,0.403
2025-10-18 22:45:00,0.384
2025-10-18 23:00:00,0.386
2025-10-18 23:15:00,0.428
2025-10-18 23:30:00,0.387
2025-10-18 23:45:00,0.390
2025-10-19 00:00:00,0.408
2025-10-19 00:15:00,0.420
2025-10-19 00:30:00,0.397
2025-10-19 00:45:00,0.422
2025-10-19 01:00:00,0.431
2025-10-19 01:15:00,0.413
2025-10-19 01:30:00,0.406
2025-10-19 01:45:00,0.425
2025-10-19 02:00:00,0.445
2025-10-19 02:15:00,0.409
2025-10-19 02:30:00,0.408
2025-10-19 02:45:00,0.425
2025-10-19 03:00:00,0.423
2025-10-19 03:15:00,0.408
2025-10-19 03:30:00,0.403
2025-10-19 03:45:00,0.458
2025-10-19 04:00:00,0.420
2025-10-19 04:15:00,0.408
2025-10-19 04:30:00,0.416
2025-10-19 04:45:00,0.446
2025-10-19 05:00:00,0.407
2025-10-19 05:15:00,0.409
2025-10-19 05:30:00,0.438
2025-10-19 05:45:00,0.425
2025-10-19 06:00:00,0.406
2025-10-19 06:15:00,0.408
2025-10-19 06:30:00,0.434
2025-10-19 06:45:00,0.411
2025-10-19 07:00:00,0.400
2025-10-19 07:15:00,0.424
2025-10-19 07:30:00,0.437
2025-10-19 07:45:00,0.398
2025-10-19 08:00:00,0.401
2025-10-19 08:15:00,0.416
2025-10-19 08:30:00,0.435
2025-10-19 08:45:00,0.401
2025-10-19 09:00:00,0.473
2025-10-19 09:15:00,0.422
2025-10-19 09:30:00,0.430
2025-10-19 09:45:00,0.407
2025-10-19 10:00:00,0.382
2025-10-19 10:15:00,0.428
2025-10-19 10:30:00,0.414
2025-10-19 10:45:00,0.383
2025-10-19 11:00:00,0.389
2025-10-19 11:15:00,0.429
2025-10-19 11:30:00,0.381
2025-10-19 11:45:00,0.385
2025-10-19 12:00:00,0.415
2025-10-19 12:15:00,0.413
2025-10-19 12:30:00,0.394
2025-10-19 12:45:00,0.387
2025-10-19 13:00:00,0.419
2025-10-19 13:15:00,0.398
2025-10-19 13:30:00,0.409
2025-10-19 13:45:00,0.388
2025-10-19 14:00:00,0.429
2025-10-19 14:15:00,0.412
2025-10-19 14:30:00,0.394
2025-10-19 14:45:00,0.403
2025-10-19 15:00:00,0.429
2025-10-19 15:15:00,0.396
2025-10-19 15:30:00,0.401
2025-10-19 15:45:00,0.410
2025-10-19 16:00:00,0.408
2025-10-19 16:15:00,0.383
2025-10-19 16:30:00,0.400
2025-10-19 16:45:00,0.424
2025-10-19 17:00:00,0.396
2025-10-19 17:15:00,0.408
2025-10-19 17:30:00,0.384
2025-10-19 17:45:00,0.423
2025-10-19 18:00:00,0.400
2025-10-19 18:15:00,0.401
2025-10-19 18:30:00,0.389
2025-10-19 18:45:00,0.423
2025-10-19 19:00:00,0.378
2025-10-19 19:15:00,0.381
2025-10-19 19:30:00,0.406
2025-10-19 19:45:00,0.427
2025-10-19 20:00:00,0.392
2025-10-19 20:15:00,0.392
2025-10-19 20:30:00,0.415
2025-10-19 20:45:00,0.416
2025-10-19 21:00:00,0.398
2025-10-19 21:15:00,0.398
2025-10-19 21:30:00,0.428
2025-10-19 21:45:00,0.408
2025-10-19 22:00:00,0.397
2025-10-19 22:15:00,0.399
2025-10-19 22:30:00,0.439
2025-10-19 22:45:00,0.425
2025-10-19 23:00:00,0.403
2025-10-19 23:15:00,0.403
2025-10-19 23:30:00,0.443
2025-10-19 23:45:00,0.405
2025-10-20 00:00:00,0.402
2025-10-20 00:15:00,0.419
2025-10-20 00:30:00,0.442
2025-10-20 00:45:00,0.397
2025-10-20 01:00:00,0.397
2025-10-20 01:15:00,0.418
2025-10-20 01:30:00,0.407
2025-10-20 01:45:00,0.384
2025-10-20 02:00:00,0.406
2025-10-20 02:15:00,0.409
2025-10-20 02:30:00,0.400
2025-10-20 02:45:00,0.382
2025-10-20 03:00:00,0.385
2025-10-20 03:15:00,0.411
2025-10-20 03:30:00,0.402
2025-10-20 03:45:00,0.383
2025-10-20 04:00:00,0.387
2025-10-20 04:15:00,0.425
2025-10-20 04:30:00,0.397
2025-10-20 04:45:00,0.390
2025-10-20 05:00:00,0.393
2025-10-20 05:15:00,0.447
2025-10-20 05:30:00,0.399
2025-10-20 05:45:00,0.397
2025-10-20 06:00:00,0.389
2025-10-20 06:15:00,0.426
