"Time","Fase C"
2025-10-17 09:45:00,0.855
2025-10-17 10:00:00,1.55
2025-10-17 10:15:00,1.62
2025-10-17 10:30:00,1.24
2025-10-17 10:45:00,1.50
2025-10-17 11:00:00,2.19
2025-10-17 11:15:00,1.89
2025-10-17 11:30:00,1.95
2025-10-17 11:45:00,1.83
2025-10-17 12:00:00,1.57
2025-10-17 12:15:00,1.63
2025-10-17 12:30:00,1.57
2025-10-17 12:45:00,1.57
2025-10-17 13:00:00,2.79
2025-10-17 13:15:00,3.18
2025-10-17 13:30:00,3.15
2025-10-17 13:45:00,3.16
2025-10-17 14:00:00,3.29
2025-10-17 14:15:00,3.10
2025-10-17 14:30:00,4.80
2025-10-17 14:45:00,22.4
2025-10-17 15:00:00,40.9
2025-10-17 15:15:00,34.5
2025-10-17 15:30:00,32.6
2025-10-17 15:45:00,32.2
2025-10-17 16:00:00,29.4
2025-10-17 16:15:00,29.9
2025-10-17 16:30:00,29.2
2025-10-17 16:45:00,30.2
2025-10-17 17:00:00,31.3
2025-10-17 17:15:00,32.6
2025-10-17 17:30:00,32.7
2025-10-17 17:45:00,33.6
2025-10-17 18:00:00,32.7
2025-10-17 18:15:00,33.9
2025-10-17 18:30:00,31.6
2025-10-17 18:45:00,33.1
2025-10-17 19:00:00,30.8
2025-10-17 19:15:00,30.7
2025-10-17 19:30:00,28.3
2025-10-17 19:45:00,28.3
2025-10-17 20:00:00,22.3
2025-10-17 20:15:00,1.51
2025-10-17 20:30:00,0.302
2025-10-17 20:45:00,0.334
2025-10-17 21:00:00,0.370
2025-10-17 21:15:00,0.307
2025-10-17 21:30:00,0.320
2025-10-17 21:45:00,0.336
2025-10-17 22:00:00,0.333
2025-10-17 22:15:00,0.300
2025-10-17 22:30:00,0.360
2025-10-17 22:45:00,0.300
2025-10-17 23:00:00,0.336
2025-10-17 23:15:00,0.400
2025-10-17 23:30:00,0.368
2025-10-17 23:45:00,0.342
2025-10-18 00:00:00,0.324
2025-10-18 00:15:00,0.342
2025-10-18 00:30:00,0.300
2025-10-18 00:45:00,0.357
2025-10-18 01:00:00,0.302
2025-10-18 01:15:00,0.326
2025-10-18 01:30:00,0.329
2025-10-18 01:45:00,0.325
2025-10-18 02:00:00,0.339
2025-10-18 02:15:00,0.318
2025-10-18 02:30:00,0.333
2025-10-18 02:45:00,0.300
2025-10-18 03:00:00,0.384
2025-10-18 03:15:00,0.312
2025-10-18 03:30:00,0.300
2025-10-18 03:45:00,0.318
2025-10-18 04:00:00,0.323
2025-10-18 04:15:00,0.326
2025-10-18 04:30:00,0.389
2025-10-18 04:45:00,0.406
2025-10-18 05:00:00,0.325
2025-10-18 05:15:00,0.326
2025-10-18 05:30:00,0.329
2025-10-18 05:45:00,0.313
2025-10-18 06:00:00,0.319
2025-10-18 06:15:00,0.321
2025-10-18 06:30:00,0.303
2025-10-18 06:45:00,0.316
2025-10-18 07:00:00,0.331
2025-10-18 07:15:00,0.319
2025-10-18 07:30:00,0.352
2025-10-18 07:45:00,1.12
2025-10-18 08:00:00,2.50
2025-10-18 08:15:00,2.68
2025-10-18 08:30:00,3.02
2025-10-18 08:45:00,2.81
2025-10-18 09:00:00,2.90
2025-10-18 09:15:00,3.06
2025-10-18 09:30:00,3.01
2025-10-18 09:45:00,4.45
2025-10-18 10:00:00,4.76
2025-10-18 10:15:00,3.40
2025-10-18 10:30:00,3.30
2025-10-18 10:45:00,2.80
2025-10-18 11:00:00,2.95
2025-10-18 11:15:00,2.59
2025-10-18 11:30:00,2.30
2025-10-18 11:45:00,2.25
2025-10-18 12:00:00,2.20
2025-10-18 12:15:00,2.28
2025-10-18 12:30:00,2.70
2025-10-18 12:45:00,3.65
2025-10-18 13:00:00,3.82
2025-10-18 13:15:00,3.24
2025-10-18 13:30:00,2.97
2025-10-18 13:45:00,2.90
2025-10-18 14:00:00,3.52
2025-10-18 14:15:00,3.86
2025-10-18 14:30:00,3.79
2025-10-18 14:45:00,3.24
2025-10-18 15:00:00,3.43
2025-10-18 15:15:00,2.79
2025-10-18 15:30:00,2.71
2025-10-18 15:45:00,2.44
2025-10-18 16:00:00,2.39
2025-10-18 16:15:00,2.42
2025-10-18 16:30:00,2.37
2025-10-18 16:45:00,2.38
2025-10-18 17:00:00,2.37
2025-10-18 17:15:00,2.67
2025-10-18 17:30:00,2.02
2025-10-18 17:45:00,1.42
2025-10-18 18:00:00,0.590
2025-10-18 18:15:00,0.263
2025-10-18 18:30:00,0.276
2025-10-18 18:45:00,0.283
2025-10-18 19:00:00,0.263
2025-10-18 19:15:00,0.308
2025-10-18 19:30:00,0.250
2025-10-18 19:45:00,0.281
2025-10-18 20:00:00,0.274
2025-10-18 20:15:00,0.286
2025-10-18 20:30:00,0.255
2025-10-18 20:45:00,0.340
2025-10-18 21:00:00,0.326
2025-10-18 21:15:00,0.306
2025-10-18 21:30:00,0.292
2025-10-18 21:45:00,0.254
2025-10-18 22:00:00,0.298
2025-10-18 22:15:00,0.268
2025-10-18 22:30:00,0.289
2025-10-18 22:45:00,0.296
2025-10-18 23:00:00,0.291
2025-10-18 23:15:00,0.280
2025-10-18 23:30:00,0.287
2025-10-18 23:45:00,0.250
2025-10-19 00:00:00,0.327
2025-10-19 00:15:00,0.250
2025-10-19 00:30:00,0.274
2025-10-19 00:45:00,0.276
2025-10-19 01:00:00,0.281
2025-10-19 01:15:00,0.250
2025-10-19 01:30:00,0.312
2025-10-19 01:45:00,0.251
2025-10-19 02:00:00,0.271
2025-10-19 02:15:00,0.290
2025-10-19 02:30:00,0.324
2025-10-19 02:45:00,0.333
2025-10-19 03:00:00,0.322
2025-10-19 03:15:00,0.285
2025-10-19 03:30:00,0.250
2025-10-19 03:45:00,0.299
2025-10-19 04:00:00,0.265
2025-10-19 04:15:00,0.289
2025-10-19 04:30:00,0.256
2025-10-19 04:45:00,0.300
2025-10-19 05:00:00,0.250
2025-10-19 05:15:00,0.264
2025-10-19 05:30:00,0.292
2025-10-19 05:45:00,0.259
2025-10-19 06:00:00,0.273
2025-10-19 06:15:00,0.311
2025-10-19 06:30:00,0.277
2025-10-19 06:45:00,0.250
2025-10-19 07:00:00,0.296
2025-10-19 07:15:00,0.254
2025-10-19 07:30:00,0.281
2025-10-19 07:45:00,0.268
2025-10-19 08:00:00,0.291
2025-10-19 08:15:00,0.250
2025-10-19 08:30:00,0.283
2025-10-19 08:45:00,0.334
2025-10-19 09:00:00,0.344
2025-10-19 09:15:00,0.260
2025-10-19 09:30:00,0.319
2025-10-19 09:45:00,0.259
2025-10-19 10:00:00,0.264
2025-10-19 10:15:00,0.288
2025-10-19 10:30:00,0.269
2025-10-19 10:45:00,0.264
2025-10-19 11:00:00,0.285
2025-10-19 11:15:00,0.272
2025-10-19 11:30:00,0.258
2025-10-19 11:45:00,0.275
2025-10-19 12:00:00,0.264
2025-10-19 12:15:00,0.270
2025-10-19 12:30:00,0.273
2025-10-19 12:45:00,0.323
2025-10-19 13:00:00,0.250
2025-10-19 13:15:00,0.260
2025-10-19 13:30:00,0.294
2025-10-19 13:45:00,0.277
2025-10-19 14:00:00,0.260
2025-10-19 14:15:00,0.282
2025-10-19 14:30:00,0.301
2025-10-19 14:45:00,0.317
2025-10-19 15:00:00,0.339
2025-10-19 15:15:00,0.288
2025-10-19 15:30:00,0.287
2025-10-19 15:45:00,0.268
2025-10-19 16:00:00,0.304
2025-10-19 16:15:00,0.250
2025-10-19 16:30:00,0.279
2025-10-19 16:45:00,0.279
2025-10-19 17:00:00,0.286
2025-10-19 17:15:00,0.250
2025-10-19 17:30:00,0.291
2025-10-19 17:45:00,0.253
2025-10-19 18:00:00,0.283
2025-10-19 18:15:00,0.268
2025-10-19 18:30:00,0.266
2025-10-19 18:45:00,0.283
2025-10-19 19:00:00,0.292
2025-10-19 19:15:00,0.300
2025-10-19 19:30:00,0.250
2025-10-19 19:45:00,0.273
2025-10-19 20:00:00,0.286
2025-10-19 20:15:00,0.296
2025-10-19 20:30:00,0.313
2025-10-19 20:45:00,0.344
2025-10-19 21:00:00,0.259
2025-10-19 21:15:00,0.250
2025-10-19 21:30:00,0.292
2025-10-19 21:45:00,0.284
2025-10-19 22:00:00,0.271
2025-10-19 22:15:00,0.285
2025-10-19 22:30:00,0.324
2025-10-19 22:45:00,0.265
2025-10-19 23:00:00,0.269
2025-10-19 23:15:00,0.270
2025-10-19 23:30:00,0.272
2025-10-19 23:45:00,0.250
2025-10-20 00:00:00,0.296
2025-10-20 00:15:00,0.262
2025-10-20 00:30:00,0.281
2025-10-20 00:45:00,0.256
2025-10-20 01:00:00,0.293
2025-10-20 01:15:00,0.263
2025-10-20 01:30:00,0.295
2025-10-20 01:45:00,0.311
2025-10-20 02:00:00,0.281
2025-10-20 02:15:00,0.282
2025-10-20 02:30:00,0.356
2025-10-20 02:45:00,0.320
2025-10-20 03:00:00,0.253
2025-10-20 03:15:00,0.287
2025-10-20 03:30:00,0.278
2025-10-20 03:45:00,0.285
2025-10-20 04:00:00,0.250
2025-10-20 04:15:00,0.283
2025-10-20 04:30:00,0.250
2025-10-20 04:45:00,0.268
