"Time","Fase B"
2025-02-12 11:30:00,6.92
2025-02-12 11:45:00,7.85
2025-02-12 12:15:00,7.63
2025-02-12 12:45:00,4.34
2025-02-12 13:00:00,2.94
2025-02-12 14:30:00,2.41
2025-02-12 14:45:00,2.40
2025-02-12 15:00:00,1.97
2025-02-12 22:15:00,1.74
2025-02-12 22:45:00,1.71
2025-02-12 23:45:00,1.36
2025-02-13 01:00:00,1.45
2025-02-13 01:30:00,1.43
2025-02-13 01:45:00,1.35
2025-02-13 06:15:00,1.51
2025-02-13 06:45:00,1.01
2025-02-13 07:00:00,3.55
2025-02-13 08:45:00,6.08
2025-02-13 13:45:00,1.82
2025-02-13 14:15:00,1.22
2025-02-13 14:30:00,1.26
2025-02-13 15:00:00,1.73
2025-02-13 15:15:00,1.69
2025-02-13 15:30:00,1.42
2025-02-13 15:45:00,1.42
2025-02-13 16:00:00,1.39
2025-02-13 16:30:00,0.620
2025-02-13 16:45:00,1.09
2025-02-13 17:15:00,1.19
2025-02-13 17:30:00,0.783
2025-02-13 17:45:00,0.544
2025-02-13 18:00:00,0.527
2025-02-13 18:15:00,0.510
2025-02-13 18:30:00,0.632
2025-02-13 18:45:00,1.18
2025-02-13 19:00:00,1.23
2025-02-13 19:15:00,1.87
2025-02-13 19:30:00,1.46
2025-02-13 19:45:00,1.41
2025-02-13 20:00:00,1.40
2025-02-13 20:15:00,1.41
2025-02-13 20:30:00,1.69
2025-02-13 20:45:00,1.81
2025-02-13 21:00:00,1.77
2025-02-13 21:15:00,1.86
2025-02-13 21:30:00,1.47
2025-02-13 21:45:00,1.36
2025-02-13 22:00:00,1.30
2025-02-13 22:15:00,1.30
2025-02-13 22:30:00,1.38
2025-02-13 22:45:00,1.80
2025-02-13 23:00:00,1.75
2025-02-13 23:15:00,1.66
2025-02-13 23:30:00,1.56
2025-02-13 23:45:00,1.24
2025-02-14 00:00:00,1.32
2025-02-14 00:30:00,1.40
2025-02-14 09:00:00,7.76
2025-02-14 09:15:00,8.07
2025-02-14 09:30:00,8.02
2025-02-14 10:15:00,6.83
2025-02-14 11:30:00,6.61
2025-02-14 12:45:00,4.36
2025-02-14 13:15:00,2.47
2025-02-14 13:30:00,1.32
2025-02-14 13:45:00,1.34
2025-02-14 14:00:00,1.43
2025-02-14 14:30:00,1.01
2025-02-14 14:45:00,0.755
2025-02-14 15:00:00,0.600
2025-02-14 15:15:00,0.510
2025-02-14 15:30:00,0.925
2025-02-14 15:45:00,0.880
2025-02-14 16:00:00,1.08
2025-02-14 16:15:00,1.61
2025-02-14 16:30:00,0.899
2025-02-14 16:45:00,0.612
2025-02-14 17:00:00,0.523
2025-02-14 17:15:00,0.826
2025-02-14 17:30:00,0.972
2025-02-14 17:45:00,1.07
2025-02-14 18:30:00,0.610
2025-02-14 18:45:00,0.720
2025-02-14 19:00:00,0.722
2025-02-14 19:15:00,0.990
2025-02-14 19:30:00,1.65
2025-02-14 20:45:00,1.19
2025-02-14 22:00:00,1.71
2025-02-14 23:45:00,1.76
2025-02-15 00:00:00,1.76
2025-02-15 09:15:00,0.493
2025-02-15 13:30:00,0.497
2025-02-15 13:45:00,0.480
2025-02-15 18:15:00,0.390
2025-02-15 18:30:00,0.397
2025-02-15 18:45:00,0.490
2025-02-15 21:15:00,1.11
2025-02-15 21:45:00,1.11
2025-02-15 23:15:00,1.12
2025-02-15 23:45:00,1.12
2025-02-16 00:00:00,1.23
2025-02-16 00:15:00,1.11
2025-02-16 00:45:00,1.02
2025-02-16 01:30:00,1.12
2025-02-16 02:45:00,1.02
2025-02-16 06:45:00,0.390
2025-02-16 07:45:00,0.400
2025-02-16 08:15:00,0.390
2025-02-16 08:45:00,0.500
2025-02-16 09:30:00,0.280
2025-02-16 09:45:00,0.280
2025-02-16 10:00:00,0.400
2025-02-16 10:15:00,0.390
2025-02-16 11:00:00,0.497
2025-02-16 11:15:00,0.410
2025-02-16 11:30:00,0.420
2025-02-16 11:45:00,0.410
2025-02-16 12:00:00,0.280
2025-02-16 12:15:00,0.390
2025-02-16 13:45:00,0.390
2025-02-16 14:30:00,0.480
2025-02-16 15:15:00,0.293
2025-02-16 15:45:00,0.500
2025-02-16 16:00:00,0.490
2025-02-16 16:45:00,0.395
2025-02-16 17:00:00,0.385
2025-02-16 17:15:00,-0.39
2025-02-16 17:30:00,-1.0
2025-02-16 18:30:00,0.870
2025-02-16 18:45:00,0.880
2025-02-16 19:45:00,1.06
2025-02-16 20:00:00,1.05
2025-02-16 20:45:00,0.955
2025-02-16 21:00:00,0.960
2025-02-16 21:30:00,0.970
2025-02-16 21:45:00,1.11
2025-02-16 22:00:00,1.03
2025-02-16 22:15:00,1.05
2025-02-16 22:30:00,1.06
2025-02-16 22:45:00,1.06
2025-02-16 23:15:00,1.08
2025-02-16 23:30:00,1.09
2025-02-16 23:45:00,1.04
2025-02-17 00:00:00,0.930
2025-02-17 00:45:00,1.13
2025-02-17 01:00:00,1.14
2025-02-17 01:45:00,1.02
2025-02-17 02:00:00,1.01
2025-02-17 02:45:00,0.760
2025-02-17 03:00:00,1.03
2025-02-17 03:15:00,0.950
2025-02-17 03:30:00,0.943
2025-02-17 03:45:00,1.02
2025-02-17 04:00:00,1.01
2025-02-17 04:15:00,0.995
2025-02-17 04:30:00,1.06
2025-02-17 04:45:00,1.01
2025-02-17 05:00:00,0.839
2025-02-17 05:15:00,0.947
2025-02-17 05:30:00,0.980
2025-02-17 05:45:00,0.973
2025-02-17 06:00:00,1.03
2025-02-17 06:15:00,1.05
2025-02-17 06:30:00,1.13
2025-02-17 06:45:00,0.510
2025-02-17 07:00:00,0.580
2025-02-17 07:30:00,1.52
2025-02-17 07:45:00,2.08
2025-02-17 08:15:00,2.14
2025-02-17 08:30:00,5.61
2025-02-17 08:45:00,5.16
2025-02-17 09:00:00,6.26
2025-02-17 09:30:00,4.56
2025-02-17 09:45:00,4.25
2025-02-17 10:00:00,4.31
2025-02-17 10:15:00,3.93
2025-02-17 10:30:00,3.68
2025-02-17 10:45:00,4.47
2025-02-17 11:00:00,4.31
2025-02-17 11:15:00,4.63
2025-02-17 11:30:00,3.96
2025-02-17 11:45:00,3.73
2025-02-17 12:00:00,3.34
2025-02-17 12:15:00,3.34
2025-02-17 12:30:00,2.93
2025-02-17 12:45:00,2.83
2025-02-17 13:00:00,2.76
2025-02-17 13:15:00,1.18
2025-02-17 13:30:00,1.23
2025-02-17 13:45:00,0.930
2025-02-17 14:00:00,0.870
2025-02-17 14:15:00,0.870
2025-02-17 14:30:00,1.11
2025-02-17 14:45:00,1.12
2025-02-17 15:00:00,1.11
2025-02-17 15:15:00,1.13
2025-02-17 15:30:00,0.958
2025-02-17 15:45:00,0.824
2025-02-17 18:15:00,0.470
2025-02-17 19:00:00,0.770
2025-02-17 19:45:00,1.36
2025-02-17 20:00:00,1.28
2025-02-17 20:15:00,1.40
2025-02-17 20:30:00,1.38
2025-02-17 20:45:00,1.39
2025-02-17 21:00:00,1.40
2025-02-17 21:15:00,1.48
2025-02-17 21:30:00,1.47
2025-02-17 21:45:00,1.29
2025-02-17 22:00:00,1.16
2025-02-17 22:15:00,1.15
2025-02-17 22:30:00,1.27
2025-02-17 23:00:00,1.36
2025-02-17 23:30:00,1.25
2025-02-17 23:45:00,1.30
2025-02-18 00:00:00,1.27
2025-02-18 00:15:00,1.27
2025-02-18 00:30:00,1.27
2025-02-18 01:00:00,1.38
2025-02-18 01:15:00,1.32
2025-02-18 01:30:00,1.25
2025-02-18 01:45:00,1.16
2025-02-18 02:15:00,1.26
2025-02-18 02:30:00,1.26
2025-02-18 02:45:00,1.26
2025-02-18 03:00:00,1.35
2025-02-18 03:30:00,1.19
2025-02-18 03:45:00,1.17
2025-02-18 04:00:00,1.23
2025-02-18 04:15:00,1.27
2025-02-18 04:30:00,1.26
2025-02-18 04:45:00,1.31
2025-02-18 05:00:00,1.34
2025-02-18 05:15:00,1.33
2025-02-18 05:30:00,1.16
2025-02-18 05:45:00,1.12
2025-02-18 06:00:00,1.09
2025-02-18 06:15:00,0.670
2025-02-18 06:30:00,0.500
2025-02-18 06:45:00,1.68
2025-02-18 07:00:00,1.75
2025-02-18 07:15:00,2.86
2025-02-18 07:30:00,3.57
2025-02-18 07:45:00,5.94
2025-02-18 08:00:00,6.57
2025-02-18 08:15:00,7.15
2025-02-18 08:30:00,6.23
2025-02-18 08:45:00,6.27
2025-02-18 09:00:00,6.67
2025-02-18 09:15:00,6.62
2025-02-18 09:30:00,6.64
2025-02-18 09:45:00,7.15
2025-02-18 10:00:00,6.72
2025-02-18 10:15:00,6.26
2025-02-18 10:30:00,7.69
2025-02-18 10:45:00,7.93
2025-02-18 11:00:00,7.55
2025-02-18 11:15:00,8.10
2025-02-18 11:30:00,8.10
2025-02-18 11:45:00,9.30
2025-02-18 12:00:00,4.94
2025-02-18 12:15:00,5.74
2025-02-18 12:30:00,5.04
2025-02-18 12:45:00,3.96
2025-02-18 13:00:00,2.20
2025-02-18 13:15:00,1.15
2025-02-18 13:30:00,1.13
2025-02-18 13:45:00,1.12
2025-02-18 14:00:00,1.53
2025-02-18 14:15:00,3.08
2025-02-18 14:30:00,3.24
2025-02-18 14:45:00,3.20
2025-02-18 15:00:00,3.21
2025-02-18 15:15:00,3.13
2025-02-18 15:30:00,2.87
2025-02-18 15:45:00,0.936
2025-02-18 16:00:00,0.938
2025-02-18 16:15:00,1.13
2025-02-18 16:30:00,0.937
2025-02-18 16:45:00,0.844
2025-02-18 17:00:00,0.517
2025-02-18 17:15:00,0.422
2025-02-18 17:30:00,0.412
2025-02-18 17:45:00,0.411
2025-02-18 18:00:00,0.437
2025-02-18 18:15:00,0.506
2025-02-18 18:30:00,0.494
2025-02-18 18:45:00,0.603
2025-02-18 19:00:00,0.597
2025-02-18 19:15:00,0.538
2025-02-18 19:30:00,1.04
2025-02-18 19:45:00,1.21
2025-02-18 20:00:00,1.40
2025-02-18 20:15:00,1.41
2025-02-18 20:30:00,1.40
2025-02-18 20:45:00,1.31
2025-02-18 21:00:00,1.31
2025-02-18 21:15:00,1.31
2025-02-18 21:30:00,1.21
2025-02-18 21:45:00,1.21
2025-02-18 22:00:00,1.20
2025-02-18 22:15:00,1.31
2025-02-18 22:30:00,1.22
2025-02-18 22:45:00,1.22
2025-02-18 23:00:00,1.22
2025-02-18 23:15:00,1.22
2025-02-18 23:30:00,1.22
2025-02-18 23:45:00,1.23
2025-02-19 00:00:00,1.21
2025-02-19 00:15:00,1.19
2025-02-19 00:30:00,1.23
2025-02-19 00:45:00,1.23
2025-02-19 01:00:00,1.23
2025-02-19 01:15:00,1.23
2025-02-19 01:30:00,1.39
2025-02-19 01:45:00,1.41
2025-02-19 02:15:00,1.24
2025-02-19 02:30:00,1.24
2025-02-19 02:45:00,1.24
2025-02-19 03:00:00,1.25
2025-02-19 03:15:00,1.21
2025-02-19 03:30:00,1.24
2025-02-19 03:45:00,1.22
2025-02-19 04:00:00,1.13
2025-02-19 04:15:00,1.24
2025-02-19 04:30:00,1.24
2025-02-19 04:45:00,1.24
2025-02-19 05:00:00,1.27
2025-02-19 05:15:00,1.23
2025-02-19 05:30:00,1.23
2025-02-19 05:45:00,1.18
2025-02-19 06:00:00,1.26
2025-02-19 06:15:00,0.768
2025-02-19 06:30:00,0.533
2025-02-19 06:45:00,0.510
2025-02-19 07:00:00,1.93
2025-02-19 07:30:00,1.23
2025-02-19 08:00:00,3.20
2025-02-19 08:30:00,4.51
2025-02-19 08:45:00,4.55
2025-02-19 09:00:00,4.68
